ss_venue_id,name,url
3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-142001
73a1e934-dd81-48dc-aa8d-a367d232f333,AAAI Spring Symposium Combining Machine Learning with Knowledge Engineering,
1ec5a55c-414e-4f79-b7dc-48e1dba3618e,IEEE Region 10 Conference,
3dbf084c-ef47-4b74-9919-047b40704538,Italian National Conference on Sensors,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-142001
ff0c44b6-e816-47b6-b897-42bf5d79d5c5,International Conference on Data Stream Mining & Processing,
0b3ee9d9-f675-4051-87b1-08bf4319e8aa,International Conference on Software and Computer Applications,
c22cbb06-d23e-491c-886e-7f7d402229ea,IAPR International Conference on Machine Learning and Data Mining in Pattern Recognition,
f80ba4a3-7aed-4021-b4d8-e4f50668847a,IEEE International Joint Conference on Neural Network,http://www.wikicfp.com/cfp/program?id=1573
8c36c300-10f5-4008-ae53-6371fcc3030d,International Conferences on Information Science and System,http://www.wikicfp.com/cfp/program?id=1400
49bb481c-95dc-4e09-a921-95f6c7f78ab8,Conference of the Open Innovations Association,http://fruct.org/
12b0a7ac-61a5-4dcf-9931-dab24274efd6,"International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems",https://link.springer.com/conference/ieaaie
ffe5bb5c-04ed-488e-985d-d3a7b39542cf,IEEE International Conference on Distributed Computing Systems,https://ieeexplore.ieee.org/xpl/conhome/1000213/all-proceedings
79c77f49-24e0-4b61-a1a0-a8ba8f64be00,International Conference on Artificial Intelligence in Education,http://www.wikicfp.com/cfp/program?id=102
7180f721-a356-48cc-b6cd-dd3ab90a3566,International Conference on Advanced Information Networking and Applications,http://www.aina-conference.org/
