ss_venue_id,name,issn,url
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,1932-6203,https://journals.plos.org/plosone/
89bf9929-721f-43ec-b044-fa22b8793903,International journal of primatology,0164-0291,http://www.kluweronline.com/issn/0164-0291/contents
a0ff87cd-c507-4013-ab29-28078b0e5dae,Folia primatologica,0015-5713,http://www.karger.com/FPR
3ae69221-0495-4fc0-9753-8052ee21d753,Environmental Entomology,0046-225X,http://www.bioone.org/loi/enve
c27172da-75e6-4060-be54-4f335cd83183,Journal of dentistry research,2688-5549,http://www.medtextpublications.com/journal-of-dentistry-research-articles-in-press.php
59cba98c-bc0d-4e35-a8f5-9ee655ff400f,Plant and Soil,0032-079X,https://www.springer.com/journal/11104
e5c67afa-351a-47ed-a4cf-e3b7f85847e8,Copeia,0045-8511,http://www.asih.org/publications/copeia
9b67bc53-08f9-4a98-9aa2-9d93990a60cc,"Brain, Behavior and Evolution",0006-8977,https://www.karger.com/Journal/Home/223831
25a655e4-17da-4bfc-a246-5cd20202068d,Frontiers in Microbiology,1664-302X,http://www.frontiersin.org/cellular_and_infection_microbiology/about
16d5502f-2c2b-4948-82c5-71b7b35342df,Physiological and Biochemical Zoology,1522-2152,https://www.journals.uchicago.edu/loi/pbz
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,1932-6203,https://journals.plos.org/plosone/
89bf9929-721f-43ec-b044-fa22b8793903,International journal of primatology,0164-0291,http://www.kluweronline.com/issn/0164-0291/contents
30931fa0-800b-4d7c-8ad5-f67035ce8fb7,Turkish Journal of Agriculture and Forestry Sciences,1300-011X,http://journals.tubitak.gov.tr/agriculture/index.php
d8cfd1a0-d8da-4623-af29-0da236626f84,New Phytologist,0028-646X,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-8137
ec3d15c7-77ef-481f-be13-f9a622bba56c,Environmental Biology of Fishes,0378-1909,https://www.springer.com/life+sciences/ecology/journal/10641
7917337a-5ba4-4bba-aeca-def885b1eaa1,The Biological Bulletin,0006-3185,http://www.biolbull.org/
d8cfd1a0-d8da-4623-af29-0da236626f84,New Phytologist,0028-646X,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-8137
3c8f4cec-a435-421a-b301-785e136e65e5,Journal of Infectious Diseases,0022-1899,http://www.jstor.org/action/showPublication?journalCode=jinfedise
60a698a8-aea0-41b9-86bd-e979ded8bc8d,iScience,2589-0042,https://www.cell.com/iscience/home
320dad07-fec1-4f9c-8ccf-c6c22642457f,Annales de Parasitologie Humaine et Comparée,0003-4150,https://www.parasite-journal.org/
6ae462df-bc8a-44a7-a74d-c6e50a1a7ce9,The Botanical review,0006-8101,http://link.springer.com/journal/volumesAndIssues/12229
80155cb6-cf84-41e2-a7a8-1cb9bc272dcd,Marine and Coastal Fisheries,1942-5120,http://www.tandfonline.com/toc/umcf20/current#.Uk7TgtJM8-0
b0a6943a-4d41-4ca4-af61-d5fcb98eb9f3,American Naturalist,0003-0147,http://www.journals.uchicago.edu/an
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,1932-6203,https://journals.plos.org/plosone/
2387b114-69fa-4cb7-92e5-bdc2451c1150,Heredity,0018-067X,http://www.nature.com/hdy/
6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,Nature,0028-0836,https://www.nature.com/
5453a6ed-d781-4a05-84fa-07c9bd7df144,Biodiversity and Conservation,0960-3115,https://link.springer.com/journal/10531
52ee8f70-41d7-4479-a480-646299aafc28,Frontiers in Ecology and Evolution,2296-701X,http://www.frontiersin.org/Behavioral_and_Evolutionary_Ecology
