ss_venue_id,name,issn,url
7a374625-d401-46df-bfd4-9637275974e1,International Journal of Financial Studies,2227-7072,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-281817
79c59592-820f-4ed1-87df-db795b4326be,Journal of medical systems,0148-5598,https://link.springer.com/journal/10916
25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,http://www.computer.org/tpami/
b142707c-e6b5-427a-a6d4-313604e96add,Clinical Chemistry,0009-9147,http://www.clinchem.org/
0aed7a40-85f3-4c66-9e1b-c1556c57001b,PLoS ONE,1932-6203,https://journals.plos.org/plosone/
136edf8d-0f88-4c2c-830f-461c6a9b842e,Applied Sciences,2076-3417,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-217814
5b118ecf-59a2-431d-8c47-4656f9e92e08,Molecular Informatics,1868-1743,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1868-1751
136edf8d-0f88-4c2c-830f-461c6a9b842e,Applied Sciences,2076-3417,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-217814
7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys,0360-0300,http://www.acm.org/pubs/surveys/
75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network,1556-5068,http://www.ssrn.com/
1ec2aefc-fc1e-40a8-94f5-6df6dc894032,Arthritis care & research,2151-464X,http://www3.interscience.wiley.com/cgi-bin/issn?DESCRIPTOR=PRINTISSN&VALUE=2151-464X
3f16aef5-6b9f-4f87-baca-cbf8147e352f,Journal of Chemical Information and Modeling,1549-9596,http://pubs.acs.org/jcim
a37db9c6-8a0f-44bd-882f-945b39be1324,Journal of Electrical Engineering and Technology,1975-0102,https://link.springer.com/journal/volumesAndIssues/42835
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,Lecture Notes in Computer Science,0302-9743,http://www.springer.com/lncs
23636705-bc44-421c-a735-33b3816eeca1,Accounts of Materials Research,2643-6728,
74dbb751-54d9-4be5-baa6-52a5e58ea8dd,Environmental Health Perspectives,0091-6765,https://ehp.niehs.nih.gov/
f80195fb-14b8-48fd-a5e4-c1ff01b01410,Journal of the American College of Radiology,1546-1440,http://www.sciencedirect.com/science/journal/15461440
7404efea-88b2-4c7c-8cb1-b3a8ced6363f,IEEE Intelligent Systems,1541-1672,https://ieeexplore.ieee.org/servlet/opac?punumber=9670
bb40a041-3875-45d5-afd4-e1c75f896fa6,IEEE Transactions on Wireless Communications,1536-1276,http://www.comsoc.org/twc/
2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html
8e1bd4b5-d5b2-4e22-ba0a-01fe5568d472,Remote Sensing,2315-4675,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-169233
59e71779-6ef3-462a-a8bf-6f9a1b7ed54a,Pediatric Critical Care Medicine,1529-7535,http://journals.lww.com/pccmjournal
3d6827a9-8d5b-489b-ba8e-fb372b6e52e3,ACS Sensors,2379-3694,https://pubs.acs.org/journal/ascefj
7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys,0360-0300,http://www.acm.org/pubs/surveys/
00d8ef91-e024-4c03-a433-0b55bdbcd42e,Programming and computer software,0361-7688,https://link.springer.com/journal/11086
c3e5f1c8-9ba7-47e5-acde-53063a69d483,Future Internet,1999-5903,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-156830
18d502d0-c13c-4049-a2bd-02bfdf26b214,Journal of Portfolio Management,0095-4918,http://www.iijpm.com/
ab17701b-8ac0-4766-93ca-78d73ce88cd1,Canadian Journal of Cardiology,0828-282X,https://www.onlinecjc.ca/
e95c8d18-09be-464f-a3cf-5b2637f0eff6,Algorithms,1999-4893,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-150910
d5b215f3-f737-45b2-875b-df309ce14c43,Scientific Programming,1058-9244,https://www.hindawi.com/journals/sp/
a75714cc-ae87-4828-a0a2-e7f8d57a5632,Frontiers in Molecular Biosciences,2296-889X,https://www.frontiersin.org/journals/molecular-biosciences
1cd505d9-195d-4f99-b91c-169e872644d4,Energies,1996-1073,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-155563
fcbcaf18-8ab1-43e1-a973-604bbc7e344e,Proceedings of the VLDB Endowment,2150-8097,http://dl.acm.org/toc.cfm?id=J1174
75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network,1556-5068,http://www.ssrn.com/
e3e1f91c-fe26-4f67-8d15-f7acd8abdf42,Future generations computer systems,0167-739X,http://www.elsevier.com/wps/find/journaleditorialboard.cws_home/505611/editorialboard
2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html
b2e56a25-eed3-47fa-97e3-8649f1bc47d6,Journal of water resources planning and management,0733-9496,https://ascelibrary.org/journal/jwrmd5
3f16aef5-6b9f-4f87-baca-cbf8147e352f,Journal of Chemical Information and Modeling,1549-9596,http://pubs.acs.org/jcim
3d6827a9-8d5b-489b-ba8e-fb372b6e52e3,ACS Sensors,2379-3694,https://pubs.acs.org/journal/ascefj
99db3270-3deb-4e55-91ee-b248735ea59b,Confluence,1933-0057,http://www.confluence.ou.edu/
2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html
e3f67d82-e981-4ff3-9a9f-3ed0100ca82a,Rock Mechanics and Rock Engineering,0723-2632,http://www.springer.com/springerwiennewyork/geosciences/journal/603
987139ae-a65d-49bb-aaf6-fb764dc40b19,Expert systems with applications,0957-4174,https://www.journals.elsevier.com/expert-systems-with-applications/
8bbffbf0-5dfc-4485-b4b1-d177fd330b21,Evidence-Based Complementary and Alternative Medicine,1741-427X,https://www.hindawi.com/journals/ecam/
abc0c598-b988-4841-a8c5-65bfa6f3df77,Biomedicines,2227-9059,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-327040
b210fd3d-11d7-478e-a0aa-7e3d2a4f482d,IEEE Sensors Journal,1530-437X,http://ieeexplore.ieee.org/servlet/opac?punumber=7361
1cd505d9-195d-4f99-b91c-169e872644d4,Energies,1996-1073,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-155563
7b2adce0-d53f-49d6-8784-b0645604fe62,ACM Computing Surveys,0360-0300,http://www.acm.org/pubs/surveys/
e0cda45d-3074-4ac0-80b8-e5250df00b89,IEEE Transactions on Medical Imaging,0278-0062,http://ieeexplore.ieee.org/servlet/opac?punumber=42
1cd505d9-195d-4f99-b91c-169e872644d4,Energies,1996-1073,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-155563
