ss_venue_id,name,issn,url
a44f7eaa-97ea-4382-abae-2bb8d889cdb2,American Journal of International Law,0002-9300,https://www.asil.org/resources/american-journal-international-law
5c27812c-8311-432e-b20a-7fa63e234e88,"Ethics: An International Journal of Social, Political, and Legal Philosophy",0014-1704,http://www.journals.uchicago.edu/et
32b9a6a8-7794-467c-bdd5-38b4b4107898,Violence and Victims,0886-6708,http://www.springerpub.com/journal.aspx?jid=0886-6708
632c6d05-019f-4296-8a4e-842e860ae5ca,Journal of Forensic Sciences,0022-1198,http://www.blackwell-synergy.com/loi/jfo
00243ef3-ede1-4f99-af75-bdb5039c07f3,International journal of offender therapy and comparative criminology,0306-624X,http://ijo.sagepub.com/
e0e22bd9-6e09-4b08-bc9e-fc775310a010,Journal of health care for the poor and underserved,1049-2089,http://iibp.chadwyck.com/toc/JournalofHealthCareforthePooran/issues.htm
8987b394-48d2-4f43-bf9b-6971f5c322b8,Crime and justice,0192-3234,http://www.journals.uchicago.edu/cj
a59cbb96-d2cd-4213-994c-650601fc632c,Common market law review,0165-0750,http://www.kluwerlawonline.com/toc.php?pubcode=COLA
e872d323-5cf2-4cb0-a335-e55680cf0995,Sexual abuse. A Journal of Research and Treatment,1079-0632,http://www.kluweronline.com/issn/1079-0632/contents
0b12c6b0-2e2b-48fa-b5f8-e11fc97e5f83,Perspectives on Politics,1537-5927,https://www.cambridge.org/core/journals/perspectives-on-politics
c62fa7ca-6854-4348-ba25-733aab38e9a6,Law & society review,0023-9216,http://www.blackwell-synergy.com/rd.asp?code=lasr&goto=journal
b2c3217a-bd16-4415-9d21-55d86ab3bc7e,Latin American Politics and Society,1531-426X,http://www.wiley.com/bw/journal.asp?ref=1531-426X
32b9a6a8-7794-467c-bdd5-38b4b4107898,Violence and Victims,0886-6708,http://www.springerpub.com/journal.aspx?jid=0886-6708
65e7448f-1578-45a5-8833-4932d0bed3f1,Criminal Law Forum,1046-8374,https://link.springer.com/journal/10609
a2f738f0-57d5-4a05-91ef-eb914f7297b7,Canadian Psychiatric Association Journal,0008-4824,https://journals.sagepub.com/loi/CPA
a44f7eaa-97ea-4382-abae-2bb8d889cdb2,American Journal of International Law,0002-9300,https://www.asil.org/resources/american-journal-international-law
18b92578-6390-409e-a593-0f44ddb9fc6c,Behavioral sciences & the law,0735-3936,http://www3.interscience.wiley.com/cgi-bin/jhome/112407260
