ss_venue_id,name,issn,url
a44f7eaa-97ea-4382-abae-2bb8d889cdb2,American Journal of International Law,0002-9300,https://www.asil.org/resources/american-journal-international-law
dd627ab5-e30c-4f0d-b7d9-7faae870f6f0,Zeitschrift für Rechtsmedizin,0044-3433,https://link.springer.com/journal/414
a44f7eaa-97ea-4382-abae-2bb8d889cdb2,American Journal of International Law,0002-9300,https://www.asil.org/resources/american-journal-international-law
c814474b-f70a-440d-992f-1705190be817,European Taxation,0014-3138,
9af8a4f2-ad9c-4713-89b6-9d017a39b58d,Ethics and International Affairs,0892-6794,http://www.blackwell-synergy.com/loi/eia?open=1987
d912aea0-afc5-4e6e-8381-f5d3b788fca2,German Law Journal,2071-8322,http://www.germanlawjournal.com/
441fc9e1-967d-4195-9452-4230ca2c37ac,Osgoode Hall law journal,0030-6185,http://www.ohlj.ca/
42a24372-3709-4db2-b42a-9006e3412398,Leiden Journal of International Law,0922-1565,https://www.cambridge.org/core/journals/leiden-journal-of-international-law
02a02980-2f84-4c0b-9eb5-4270340199d6,European Public Law,1354-3725,http://www.kluwerlawonline.com/productinfo.php?pubcode=EURO
73ac5df7-f2d4-4b95-96b2-69d1726eaeec,Journal of Politics,0022-3816,http://www3.interscience.wiley.com/journal/118502557/home
52ee8f70-41d7-4479-a480-646299aafc28,Frontiers in Ecology and Evolution,2296-701X,http://www.frontiersin.org/Behavioral_and_Evolutionary_Ecology
