Author Id,Name,Affiliation,Email,Interests
JicYPdAAAAAJ,Geoffrey Hinton,"Emeritus Prof. Computer Science, University of Toronto",@cs.toronto.edu,"machine learning, psychology, artificial intelligence, cognitive science, computer science"
kukA0LcAAAAJ,Yoshua Bengio,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",@umontreal.ca,"Machine learning, deep learning, artificial intelligence"
x04W_mMAAAAJ,Ilya Sutskever,Co-Founder and Chief Scientist of OpenAI,@openai.com,"Machine Learning, Neural Networks, Artificial Intelligence, Deep Learning"
yxUduqMAAAAJ,Michael I. Jordan,"Professor of Electrical Engineering and Computer Sciences and Professor of Statistics, UC Berkeley",@cs.berkeley.edu,"machine learning, computer science, statistics, artificial intelligence, optimization"
S6H-0RAAAAAJ,Lotfi A. Zadeh,"Professor Emeritus, EECS, UC Berkeley",@eecs.berkeley.edu,"Fuzzy Logic, Soft Computing, Artificial Intelligence, Human-Level Machine Intelligence"
NkzyCvUAAAAJ,Oriol Vinyals,Research Scientist at Google DeepMind,@google.com,"Artificial Intelligence, Machine Learning, Deep Learning, Speech, Vision"
bh-uRFMAAAAJ,Trevor Darrell,"Professor of Computer Science, U.C. Berkeley",@eecs.berkeley.edu,"Computer Vision, Artificial Intelligence, AI, Machine Learning, Deep Learning"
GExyiRkAAAAJ,Stephen Boyd,"Professor of Electrical Engineering, Computer Science, and Management Science, Stanford",@stanford.edu,"Optimization, Control, Signal Processing, Artificial Intelligence, Finance"
rDfyQnIAAAAJ,Li Fei-Fei,"Professor of Computer Science, Stanford University",@cs.stanford.edu,"Artificial Intelligence, Machine Learning, Computer Vision, Neuroscience"
f2XZEZ8AAAAJ,Tien Yin Wong 黄天荫,Tsinghua Medicine & Singapore National Eye Center,@nus.edu.sg,"Retinal disease, diabetes, hypertension, artificial intelligence"
