Author-Paper Id,Author,Title,Year,Citations
JicYPdAAAAAJ:VN7nJs4JPk0C,Geoffrey Hinton,Imagenet classification with deep convolutional neural networks,2012,153161
JicYPdAAAAAJ:C-SEpTPhZ1wC,Geoffrey Hinton,Deep learning,2015,75329
JicYPdAAAAAJ:GFxP56DSvIMC,Geoffrey Hinton,Learning internal representations by error-propagation,1986,58019
JicYPdAAAAAJ:Ic1VZgkJnDsC,Geoffrey Hinton,Dropout: a simple way to prevent neural networks from overfitting,2014,49596
JicYPdAAAAAJ:ZeXyd9-uunAC,Geoffrey Hinton,Visualizing data using t-SNE,2008,44980
JicYPdAAAAAJ:xckinRaLORAC,Geoffrey Hinton,Learning representations by back-propagating errors,1986,37364
JicYPdAAAAAJ:fPk4N6BV_jEC,Geoffrey Hinton,Learning multiple layers of features from tiny images,2009,28789
JicYPdAAAAAJ:D_sINldO8mEC,Geoffrey Hinton,Rectified linear units improve restricted boltzmann machines,2010,24477
JicYPdAAAAAJ:WF5omc3nYNoC,Geoffrey Hinton,Reducing the dimensionality of data with neural networks,2006,22353
JicYPdAAAAAJ:YsMSGLbcyi4C,Geoffrey Hinton,A fast learning algorithm for deep belief nets,2006,21041
kukA0LcAAAAJ:naSTrk-c4S8C,Yoshua Bengio,Deep learning,2015,75348
kukA0LcAAAAJ:i8eIfGGcn98C,Yoshua Bengio,Generative adversarial nets,2014,75310
kukA0LcAAAAJ:u5HHmVD_uO8C,Yoshua Bengio,Gradient-based learning applied to document recognition,1998,63599
kukA0LcAAAAJ:orDZ08hpP44C,Yoshua Bengio,Deep learning,2016,61752
kukA0LcAAAAJ:__bU50VfleQC,Yoshua Bengio,Neural machine translation by jointly learning to align and translate,2014,33719
kukA0LcAAAAJ:kJDgFkosVoMC,Yoshua Bengio,Learning phrase representations using RNN encoder-decoder for statistical machine translation,2014,28550
kukA0LcAAAAJ:D_sINldO8mEC,Yoshua Bengio,Understanding the difficulty of training deep feedforward neural networks,2010,23772
kukA0LcAAAAJ:N6_Y7JlWxwsC,Yoshua Bengio,Graph attention networks,2017,19539
kukA0LcAAAAJ:SxCCDk4iOpsC,Yoshua Bengio,Empirical evaluation of gated recurrent neural networks on sequence modeling,2014,15469
kukA0LcAAAAJ:jFemdcug13IC,Yoshua Bengio,Representation learning: A review and new perspectives,2013,15255
x04W_mMAAAAJ:UebtZRa9Y70C,Ilya Sutskever,Imagenet classification with deep convolutional neural networks,2012,153904
x04W_mMAAAAJ:4aZ_i-5WJEQC,Ilya Sutskever,Tensorflow: Large-scale machine learning on heterogeneous distributed systems,2016,52722
x04W_mMAAAAJ:1yWc8FF-_SYC,Ilya Sutskever,Dropout: a simple way to prevent neural networks from overfitting,2014,49577
x04W_mMAAAAJ:kNdYIx-mwKoC,Ilya Sutskever,Distributed representations of words and phrases and their compositionality,2013,43176
x04W_mMAAAAJ:-DxkuPiZhfEC,Ilya Sutskever,Sequence to sequence learning with neural networks,2014,25543
x04W_mMAAAAJ:Ic1VZgkJnDsC,Ilya Sutskever,Language models are few-shot learners,2020,23740
x04W_mMAAAAJ:PyEswDtIyv0C,Ilya Sutskever,Mastering the game of Go with deep neural networks and tree search,2016,18504
x04W_mMAAAAJ:Zph67rFs4hoC,Ilya Sutskever,Intriguing properties of neural networks,2013,16123
x04W_mMAAAAJ:wUn16MOA3RoC,Ilya Sutskever,Learning transferable visual models from natural language supervision,2021,14832
x04W_mMAAAAJ:LkGwnXOMwfcC,Ilya Sutskever,Improving neural networks by preventing co-adaptation of feature detectors,2012,11053
yxUduqMAAAAJ:u5HHmVD_uO8C,Michael I. Jordan,Latent dirichlet allocation,2003,52390
yxUduqMAAAAJ:H2XcuePHLsAC,Michael I. Jordan,On spectral clustering: Analysis and an algorithm,2001,12351
yxUduqMAAAAJ:jKT558fuBk8C,Michael I. Jordan,"Machine learning: Trends, perspectives, and prospects",2015,8215
yxUduqMAAAAJ:x2hKVfJWtf0C,Michael I. Jordan,Trust region policy optimization,2015,7809
yxUduqMAAAAJ:d1gkVwhDpl0C,Michael I. Jordan,Adaptive mixtures of local experts,1991,5814
yxUduqMAAAAJ:ZOYfmFL0FrgC,Michael I. Jordan,Learning transferable features with deep adaptation networks,2015,5546
yxUduqMAAAAJ:UebtZRa9Y70C,Michael I. Jordan,"Graphical models, exponential families, and variational inference",2008,5385
yxUduqMAAAAJ:W7OEmFMy1HYC,Michael I. Jordan,Sharing clusters among related groups: Hierarchical Dirichlet processes,2004,5321
yxUduqMAAAAJ:XDrR66g3YHsC,Michael I. Jordan,An introduction to variational methods for graphical models,1999,5308
yxUduqMAAAAJ:2osOgNQ5qMEC,Michael I. Jordan,Hierarchical mixtures of experts and the EM algorithm,1994,4200
S6H-0RAAAAAJ:QKtdBID3u5MC,Lotfi A. Zadeh,Fuzzy Sets,1965,141702
S6H-0RAAAAAJ:NRnkAyzcrGMC,Lotfi A. Zadeh,The concept of a linguistic variable and its application to approximate reasoning—I,1975,37481
S6H-0RAAAAAJ:lYbyOjaXH8MC,Lotfi A. Zadeh,The concept of a linguistic variable and its application to approximate reasoning—I,1975,21633
S6H-0RAAAAAJ:vxA22ZmNLkoC,Lotfi A. Zadeh,Decision-making in a fuzzy environment,1970,12294
S6H-0RAAAAAJ:vYYylRVofzEC,Lotfi A. Zadeh,Fuzzy logic= computing with words,1996,7445
S6H-0RAAAAAJ:inmFHauC9wsC,Lotfi A. Zadeh,Fuzzy logic,1988,5803
S6H-0RAAAAAJ:CRzUtm-VnGAC,Lotfi A. Zadeh,Similarity relations and fuzzy orderings,1971,3813
S6H-0RAAAAAJ:Nnq8S6OXqDYC,Lotfi A. Zadeh,Toward a theory of fuzzy information granulation and its centrality in human reasoning and fuzzy logic,1997,3753
S6H-0RAAAAAJ:TaWRl4-rBxwC,Lotfi A. Zadeh,Probability measures of fuzzy events,1968,3617
S6H-0RAAAAAJ:xii_ZKWM4-0C,Lotfi A. Zadeh,Fuzzy sets and information granularity,1979,3306
NkzyCvUAAAAJ:BqipwSGYUEgC,Oriol Vinyals,"TensorFlow: Large-scale machine learning on heterogeneous systems, 2015",,53422
NkzyCvUAAAAJ:QIV2ME_5wuYC,Oriol Vinyals,Sequence to sequence learning with neural networks,2014,25726
NkzyCvUAAAAJ:An6A6Jpfc1oC,Oriol Vinyals,Highly accurate protein structure prediction with AlphaFold,2021,21052
NkzyCvUAAAAJ:-f6ydRqryjwC,Oriol Vinyals,Distilling the knowledge in a neural network,2015,19012
NkzyCvUAAAAJ:3s1wT3WcHBgC,Oriol Vinyals,Google's neural machine translation system: Bridging the gap between human and machine translation,2016,8341
NkzyCvUAAAAJ:RYcK_YlVTxYC,Oriol Vinyals,Matching networks for one shot learning,2016,8304
NkzyCvUAAAAJ:SdhP9T11ey4C,Oriol Vinyals,Representation learning with contrastive predictive coding,2018,8040
NkzyCvUAAAAJ:nb7KW1ujOQ8C,Oriol Vinyals,Neural message passing for quantum chemistry,2017,7701
