Author,Paper Title
topo Santoso,Kriminologi
topo Santoso,Membumikan hukum pidana islam: penegakan syariat dalam wacana dan agenda
topo Santoso,Seksualitas dan hukum pidana
topo Santoso,Menggagas Hukum Pidana Islam
topo Santoso,Perekayasaan sistem pemilu untuk pembangunan tata politik demokratis
topo Santoso,Asas-asas hukum pidana Islam
topo Santoso,Menggagas hukum pidana Islam: penerapan syariah Islam dalam konteks modernitas
topo Santoso,Tindak Pidana Pemilu
topo Santoso,"Pemilu di Indonesia: Kelembagaan, Pelaksanaan, dan Pengawasan"
topo Santoso,Mengawasi pemilu mengawal demokrasi
Jeffrey A. Butts,Cure violence: a public health model to reduce gun violence
Jeffrey A. Butts,Female offenders in the juvenile justice system: Statistics summary
Jeffrey A. Butts,Reviving juvenile justice in a get-tough era
Jeffrey A. Butts,Positive youth justice: Framing justice interventions using the concepts of positive youth development
Jeffrey A. Butts,The Impact of Teen Court on Young Offenders. Research Report.
Jeffrey A. Butts,Viable options: Intensive supervision programs for juvenile delinquents
Jeffrey A. Butts,Brick by brick: Dismantling the border between juvenile and adult justice
Jeffrey A. Butts,The Rise and Fall of American Youth Violence: 1980 to 2000. Research Report.
Jeffrey A. Butts,Juvenile court statistics 1994
Jeffrey A. Butts,Teen courts: A focus on research
Luisa F. Franco Rodriguez,Persistent human papillomavirus infection as a predictor of cervical intraepithelial neoplasia
lincoln fry,Inequities in the organizational experiences of women and men
lincoln fry,Reexamining assumptions about education and professionalism in law enforcement
lincoln fry,Socialization in drug abuse
lincoln fry,Gender differences in work adjustment of prison employees
lincoln fry,Reporting suspected child abuse: Conflicting roles for the counselor
lincoln fry,Drug abuse and crime in a Swedish birth cohort
lincoln fry,A preliminary examination of the factors related to turnover of women in law enforcement
lincoln fry,Preliminary findings on the use of osteopathic manipulative treatment by osteopathic physicians
lincoln fry,Measuring professionalism in law enforcement
lincoln fry,Some evidence on the impact of higher education for law enforcement personnel
Michael Lott,Pharmacotherapy of post‐traumatic stress disorder with a novel psychotropic
Michael Lott,"Brofaromine for social phobia: a multicenter, placebo-controlled, double-blind study"
Michael Lott,Serotonergic (5-HT2) mediation of anxiety-therapeutic effects of serazepine in generalized anxiety disorder
Michael Lott,A clinical test of noradrenergic involvement in the therapeutic mode of action of an experimental antidepressant
Michael Lott,102 SEROTONERGIC FUNCTION IN TRAUMA VICTIMS
Michael Lott,Brofaromine in social phobia—Recent findings from a US trial
Michael Lott,DILEMMAS IN RECRUITMENT IN PTSD TRIALS-IMPLICATIONS FOR RESEARCH
Rashmi meena,Amendment Act 32 of 2007
Rashmi meena,Act 1988
Rashmi meena,"Act, 1993"
Rashmi meena,"Act, 2013"
Rashmi meena,Act 2006
Rashmi meena,Sexual Offences and Related Matters
Rashmi meena,Amendment Act No. 32 of 2007
Rashmi meena,Amendment Act 5 of 2015
Rashmi meena,Amendment Act
Rashmi meena,"Amendment Bill, 2006"
Eimear Spain,Social media and professional identity: pitfalls and potential
Eimear Spain,"The Role of Emotions in Criminal Law Defences: Duress, Necessity and Lesser Evils"
Eimear Spain,The victim in the Irish criminal process
Eimear Spain,‘Doctors can’t be doctors all of the time’: a qualitative study of how general practitioners and medical students negotiate public-professional and private-personal realms using social media
Eimear Spain,Compulsory vaccination against COVID-19: a legal and ethical perspective on public good versus personal reticence
Eimear Spain,Knowledge and attitudes of Irish GPs towards abortion following its legalisation: a cross-sectional study
Eimear Spain,"Article 40.3.3 and the Protection of Life During Pregnancy Bill 2013: The Impetus for, and Process of, Legislative Change"
Eimear Spain,Exploring the impact of the Victims' Directive on service provision for victims of crime in Ireland
Eimear Spain,The absence of regulatory crime from the criminal law curriculum
Eimear Spain,“Deaths in prison custody” capstone course: engaging final-year law students in service learning and public value
