Author-Paper Id,Author,Title,Year,Citations
Ey_9mpIAAAAJ:u5HHmVD_uO8C,topo Santoso,Kriminologi,2007,989
Ey_9mpIAAAAJ:u-x6o8ySG0sC,topo Santoso,Membumikan hukum pidana islam: penegakan syariat dalam wacana dan agenda,2003,680
Ey_9mpIAAAAJ:2osOgNQ5qMEC,topo Santoso,Seksualitas dan hukum pidana,1997,179
Ey_9mpIAAAAJ:d1gkVwhDpl0C,topo Santoso,Menggagas Hukum Pidana Islam,2001,155
Ey_9mpIAAAAJ:eQOLeE2rZwMC,topo Santoso,Perekayasaan sistem pemilu untuk pembangunan tata politik demokratis,2008,145
Ey_9mpIAAAAJ:BUYA1_V_uYcC,topo Santoso,Asas-asas hukum pidana Islam,2016,132
Ey_9mpIAAAAJ:qjMakFHDy7sC,topo Santoso,Menggagas hukum pidana Islam: penerapan syariah Islam dalam konteks modernitas,2000,113
Ey_9mpIAAAAJ:9yKSN-GCB0IC,topo Santoso,Tindak Pidana Pemilu,2006,111
Ey_9mpIAAAAJ:MhiOAD_qIWkC,topo Santoso,"Pemilu di Indonesia: Kelembagaan, Pelaksanaan, dan Pengawasan",2021,109
Ey_9mpIAAAAJ:IjCSPb-OGe4C,topo Santoso,Mengawasi pemilu mengawal demokrasi,2004,98
NBpGixUAAAAJ:wbdj-CoPYUoC,Jeffrey A. Butts,Cure violence: a public health model to reduce gun violence,2015,348
NBpGixUAAAAJ:4DMP91E08xMC,Jeffrey A. Butts,Female offenders in the juvenile justice system: Statistics summary,1996,249
NBpGixUAAAAJ:mVmsd5A6BfQC,Jeffrey A. Butts,Reviving juvenile justice in a get-tough era,2001,214
NBpGixUAAAAJ:u9iWguZQMMsC,Jeffrey A. Butts,Positive youth justice: Framing justice interventions using the concepts of positive youth development,2010,139
NBpGixUAAAAJ:QIV2ME_5wuYC,Jeffrey A. Butts,The Impact of Teen Court on Young Offenders. Research Report.,2002,138
NBpGixUAAAAJ:Wp0gIr-vW9MC,Jeffrey A. Butts,Viable options: Intensive supervision programs for juvenile delinquents,1990,134
NBpGixUAAAAJ:eJjLl3UG7CkC,Jeffrey A. Butts,Brick by brick: Dismantling the border between juvenile and adult justice,2000,120
NBpGixUAAAAJ:_kc_bZDykSQC,Jeffrey A. Butts,The Rise and Fall of American Youth Violence: 1980 to 2000. Research Report.,2002,100
NBpGixUAAAAJ:9ZlFYXVOiuMC,Jeffrey A. Butts,Juvenile court statistics 1994,1998,95
NBpGixUAAAAJ:7PzlFSSx8tAC,Jeffrey A. Butts,Teen courts: A focus on research,2000,90
5BqDnOwAAAAJ:u5HHmVD_uO8C,Luisa F. Franco Rodriguez,Persistent human papillomavirus infection as a predictor of cervical intraepithelial neoplasia,2001,860
MySkMIcAAAAJ:LgRImbQfgY4C,lincoln fry,Inequities in the organizational experiences of women and men,1975,113
MySkMIcAAAAJ:F1b5ZUV5XREC,lincoln fry,Reexamining assumptions about education and professionalism in law enforcement,1976,78
MySkMIcAAAAJ:AHdEip9mkN0C,lincoln fry,Socialization in drug abuse,1976,48
MySkMIcAAAAJ:2tRrZ1ZAMYUC,lincoln fry,Gender differences in work adjustment of prison employees,1987,44
MySkMIcAAAAJ:6yz0xqPARnAC,lincoln fry,Reporting suspected child abuse: Conflicting roles for the counselor,1993,41
MySkMIcAAAAJ:4X0JR2_MtJMC,lincoln fry,Drug abuse and crime in a Swedish birth cohort,1985,41
MySkMIcAAAAJ:0CzhzZyukY4C,lincoln fry,A preliminary examination of the factors related to turnover of women in law enforcement,1983,36
MySkMIcAAAAJ:sJsF-0ZLhtgC,lincoln fry,Preliminary findings on the use of osteopathic manipulative treatment by osteopathic physicians,1996,35
