Author Id,Name,Affiliation,Email,Interests
G5zYeD8AAAAJ,Sudhir Kumar,"Director, iGEM, Carnell Professor of Biology, Temple University",@temple.edu,"Genomics, Phylogenetics, Bioinformatics, Medicine, Ecology"
xlfT8vcAAAAJ,David Tilman,"Professor of Ecology, University of Minnesota & Professor, Bren School UCSB",@umn.edu,"ecology, sustainability, biodiversity, diet-health, agriculture"
G23eFUQAAAAJ,F Stuart Chapin III,"Professor Emeritus of Ecology, University of Alaska Fairbanks",,"ecology, global change, community adaptation"
whhr40wAAAAJ,Christopher B. Field,"Director, Woods Institute for the Environment, Stanford University",@stanford.edu,"climate change, ecology, carbon cycle, leaf nitrogen"
daJE-XsAAAAJ,Pierre Legendre,Universite de Montreal,@umontreal.ca,"ecology, community ecology, beta diversity, phylogenetic analysis, multivariate statistics"
EQ-mkaAAAAAJ,Robert Costanza,"Institute for Global Prosperity, University College London",@ucl.ac.uk,"Ecological Economics, Landscape Ecology, Ecosystem Services, Environmental Science, Ecology"
WLqObjoAAAAJ,Noah Fierer,"Professor, University of Colorado at Boulder",@colorado.edu,"ecology, microbiology, biogeochemistry, microbial ecology, ecosystem ecology"
G3NBUzwAAAAJ,Robert B. Jackson,"Douglas Provostial Professor, Stanford University",@stanford.edu,"biogeochemistry, ecology, environmental science, climate change, ecohydrology"
1SGgB20AAAAJ,Brian Walker,"Research Fellow, CSIRO Australia",@csiro.au,"Ecology, resilience, complex systems"
mvn33HYAAAAJ,James H. Brown,"Professor Emeritus of Biology, University of New Mexico",@unm.edu,"Ecology, Biological Scaling, Biogeography"
