Author,Paper Title
Eric Lander,Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles
Eric Lander,Initial sequencing and analysis of the human genome
Eric Lander,Molecular classification of cancer: class discovery and class prediction by gene expression monitoring
Eric Lander,Integrative genomics viewer
Eric Lander,Genetic dissection of complex traits: guidelines for interpreting and reporting linkage results
Eric Lander,PGC-1α-responsive genes involved in oxidative phosphorylation are coordinately downregulated in human diabetes
Eric Lander,A map of human genome variation from population scale sequencing
Eric Lander,Initial sequencing and comparative analysis of the mouse genome
Eric Lander,Comprehensive mapping of long-range interactions reveals folding principles of the human genome
Eric Lander,"An integrated map of genetic variation from 1,092 human genomes"
Mark Daly,PLINK: a tool set for whole-genome association and population-based linkage analyses
Mark Daly,The Genome Analysis Toolkit: a MapReduce framework for analyzing next-generation DNA sequencing data
Mark Daly,Haploview: analysis and visualization of LD and haplotype maps
Mark Daly,A framework for variation discovery and genotyping using next-generation DNA sequencing data
Mark Daly,"Analysis of protein-coding genetic variation in 60,706 humans"
Mark Daly,PGC-1α-responsive genes involved in oxidative phosphorylation are coordinately downregulated in human diabetes
Mark Daly,A map of human genome variation from population scale sequencing
Mark Daly,Initial sequencing and comparative analysis of the mouse genome
Mark Daly,"An integrated map of genetic variation from 1,092 human genomes"
Mark Daly,MAPMAKER: an interactive computer package for constructing primary genetic linkage maps of experimental and natural populations
Daniel Levy,Heart disease and stroke statistics—2017 update: a report from the American Heart Association
Daniel Levy,Third universal definition of myocardial infarction
Daniel Levy,Prediction of coronary heart disease using risk factor categories
Daniel Levy,2013 ACC/AHA guideline on the treatment of blood cholesterol to reduce atherosclerotic cardiovascular risk in adults: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines
Daniel Levy,Prognostic implications of echocardiographically determined left ventricular mass in the Framingham Heart Study
Daniel Levy,2014 AHA/ACC/HRS guideline for the management of patients with atrial fibrillation: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines and the Heart Rhythm Society
Daniel Levy,2013 ACC/AHA guideline on the assessment of cardiovascular risk: a report of the American College of Cardiology/American Heart Association Task Force on Practice Guidelines
Daniel Levy,Impact of atrial fibrillation on the risk of death: the Framingham Heart Study
Daniel Levy,Diabetes and cardiovascular disease: the Framingham study
Daniel Levy,Body-mass index and cause-specific mortality in 900 000 adults: collaborative analyses of 57 prospective studies
"Richard K. Wilson, Ph.D.",Initial sequencing and analysis of the human genome
"Richard K. Wilson, Ph.D.",Analysis of the genome sequence of the flowering plant Arabidopsis thaliana
"Richard K. Wilson, Ph.D.",Comprehensive molecular portraits of human breast tumours
"Richard K. Wilson, Ph.D.","Structure, function and diversity of the healthy human microbiome"
"Richard K. Wilson, Ph.D.",A second generation human haplotype map of over 3.1 million SNPs
"Richard K. Wilson, Ph.D.",A map of human genome variation from population scale sequencing
"Richard K. Wilson, Ph.D.",Initial sequencing and comparative analysis of the mouse genome
"Richard K. Wilson, Ph.D.","An integrated map of genetic variation from 1,092 human genomes"
"Richard K. Wilson, Ph.D.","Integrated genomic analysis identifies clinically relevant subtypes of glioblastoma characterized by abnormalities in PDGFRA, IDH1, EGFR, and NF1"
"Richard K. Wilson, Ph.D.",Comprehensive molecular characterization of human colon and rectal cancer
Robert A. Weinberg,Hallmarks of cancer: the next generation
Robert A. Weinberg,The hallmarks of cancer
Robert A. Weinberg,The basics of epithelial-mesenchymal transition
Robert A. Weinberg,The epithelial-mesenchymal transition generates cells with properties of stem cells
Robert A. Weinberg,The retinoblastoma protein and cell cycle control
Robert A. Weinberg,A perspective on cancer cell metastasis
Robert A. Weinberg,On dialogue
Robert A. Weinberg,"Twist, a master regulator of morphogenesis, plays an essential role in tumor metastasis"
Robert A. Weinberg,Stromal fibroblasts present in invasive human breast carcinomas promote tumor growth and angiogenesis through elevated SDF-1/CXCL12 secretion
Robert A. Weinberg,Tumor metastasis: molecular insights and evolving paradigms
Kenneth Kinzler,"WAF1, a potential mediator of p53 tumor suppression"
Kenneth Kinzler,PD-1 blockade in tumors with mismatch-repair deficiency
Kenneth Kinzler,Cancer genome landscapes
Kenneth Kinzler,An integrated genomic analysis of human glioblastoma multiforme
Kenneth Kinzler,Lessons from hereditary colorectal cancer
Kenneth Kinzler,IDH1 and IDH2 Mutations in Gliomas
Kenneth Kinzler,Serial analysis of gene expression
