Author Id,Name,Affiliation,Email,Interests
LXVfPc8AAAAJ,Eric Lander,Broad Institute,,"Biology, Genomics, Genetics, Bioinformatics, Mathematics"
SW3aNagAAAAJ,Mark Daly,"Director, Institute for Molecular Medicine Finland (FIMM) & Chief, ATGU, MGH & Broad Institute",@atgu.mgh.harvard.edu,Genetics
xmOaZ8EAAAAJ,Daniel Levy,"National Heart, Lung, and Blood Institute",@nih.gov,"Genetics, Genomics, Epidemiology, Cardiovascular Disease"
nKkZybgAAAAJ,"Richard K. Wilson, Ph.D.",Nationwide Children's Hospital; Ohio State University,@NationwideChildrens.org,"Genomics, Molecular Biology, Genetics"
1wq5H9oAAAAJ,Robert A. Weinberg,MIT,@wi.mit.edu,"Cancer Biology, Cell Biology, Genetics"
tV32RXkAAAAJ,Kenneth Kinzler,Johns Hopkins University,@jhmi.edu,"Cancer, Genetics, Genomics"
t53jWtYAAAAJ,Goncalo Abecasis,University of Michigan School of Public Health,@umich.edu,"Biostatistics, Human Genetics, Statistical Computing, Genetics, Complex Traits"
aSXlZbwAAAAJ,Francis S. Collins,National Institutes of Health,,genetics
cADXkPEAAAAJ,Matthew Meyerson,"Professor of Genetics and Medicine, Harvard Medical School",@broadinstitute.org,"Cancer biology, genetics, and drug discovery"
d-NvY4cAAAAJ,Paul Zimmet,"Monash University, BakerIDI",@monash.edu,"Diabetes, Epidemiology, Genetics, Epigenetics"
