Author,Paper Title
Harry Sapienza,"Entrepreneurship and dynamic capabilities: A review, model and research agenda"
Harry Sapienza,"Effects of age at entry, knowledge intensity, and imitability on international growth"
Harry Sapienza,"Social capital, knowledge acquisition, and knowledge exploitation in young technology‐based firms"
Harry Sapienza,A capabilities perspective on the effects of early internationalization on firm survival and growth
Harry Sapienza,"Building commitment, attachment, and trust in strategic decision-making teams: The role of procedural justice"
Harry Sapienza,The effects of top management team size and interaction norms on cognitive and affective conflict
Harry Sapienza,The internationalization of new high-potential US ventures: Antecedents and outcomes
Harry Sapienza,Venture capitalist governance and value added in four countries
Harry Sapienza,When do venture capitalists add value?
Harry Sapienza,Stakeholder management and corporate performance
Peter Wysocki,Earnings management and investor protection: an international comparison
Peter Wysocki,Earnings management and investor protection: an international comparison
Peter Wysocki,Do managers withhold bad news?
Peter Wysocki,The economics of disclosure and financial reporting regulation: Evidence and suggestions for future research
Peter Wysocki,The walk‐down to beatable analyst forecasts: The role of equity issuance and insider trading incentives
Peter Wysocki,Economic consequences of financial reporting and disclosure regulation: A review and suggestions for future research
Peter Wysocki,Discretionary disclosure and stock-based incentives
Peter Wysocki,Portfolio preferences of foreign institutional investors
Peter Wysocki,Portfolio preferences of foreign institutional investors
Peter Wysocki,Global accounting convergence and the potential adoption of IFRS by the US (Part I): Conceptual underpinnings and economic analysis
Linda Goldberg,Exchange rate pass-through into import prices
Linda Goldberg,Global banks and international shock transmission: Evidence from the crisis
Linda Goldberg,Banking globalization and monetary transmission
Linda Goldberg,Vehicle currency use in international trade
Linda Goldberg,"Foreign direct investment, exchange rate variability and demand uncertainty"
Linda Goldberg,The evolving external orientation of manufacturing industries: evidence from four countries
Linda Goldberg,Foreign and domestic bank participation in emerging markets: Lessons from Mexico and Argentina
Linda Goldberg,Liquidity management of US global banks: Internal capital markets in the great recession
Linda Goldberg,"Investment in manufacturing, exchange rates and external exposure"
Linda Goldberg,Exchange rates and investment in United States industry
john l. graham,International marketing
john l. graham,A dyadic study of interpersonal information search
john l. graham,A field study of causal inferences and consumer reaction: the view from the airport
john l. graham,Cross-cultural interaction: the international comparison fallacy?
john l. graham,Explorations of national culture and word-of-mouth referral behavior in the purchase of industrial services in the United States and Japan
john l. graham,Marketing internacional
john l. graham,The influence of culture on the process of business negotiations: An exploratory study
john l. graham,The chinese negotiation
john l. graham,Explorations of negotiation behaviors in ten foreign cultures using a model developed in the United States
john l. graham,Gaining compliance and losing weight: The role of the service provider in health care services
Margarethe Wiersema,Top management team demography and corporate strategic change
Margarethe Wiersema,A resource‐based approach to the multibusiness firm: Empirical analysis of portfolio interrelationships and corporate financial performance
Margarethe Wiersema,Strategic flexibility in information technology alliances: The influence of transaction cost economics and social exchange theory
Margarethe Wiersema,Top management team turnover as an adaptation mechanism: The role of the environment
Margarethe Wiersema,"Organizational demography in Japanese firms: Group heterogeneity, individual dissimilarity, and top management team turnover"
Margarethe Wiersema,Stock market reaction to CEO certification: The signaling role of CEO background
Margarethe Wiersema,The use of limited dependent variable techniques in strategy research: Issues and methods
Margarethe Wiersema,"Corporate diversification: The impact of foreign competition, industry globalization, and product diversification"
Margarethe Wiersema,Matching method to paradigm in strategy research: limitations of cross‐sectional analysis and some methodological alternatives
Margarethe Wiersema,Matching method to paradigm in strategy research: limitations of cross‐sectional analysis and some methodological alternatives
Ole-Kristian Hope,"Disclosure practices, enforcement of accounting standards, and analysts' forecast accuracy: An international study"
Ole-Kristian Hope,Financial reporting quality and investment efficiency of private firms in emerging markets
Ole-Kristian Hope,Managerial empire building and firm disclosure
Ole-Kristian Hope,"Differences between domestic accounting standards and IAS: Measurement, determinants and implications"
Ole-Kristian Hope,Firm‐level disclosures and the relative roles of culture and legal origin
Ole-Kristian Hope,Financial reporting quality of US private and public firms
Ole-Kristian Hope,The benefits of specific risk-factor disclosures
Ole-Kristian Hope,Empirical evidence on jurisdictions that adopt IFRS
Ole-Kristian Hope,Auditor independence in a private firm and low litigation risk setting
Ole-Kristian Hope,Tax avoidance and geographic earnings disclosure
"Michael L. Kent, Professor",Building dialogic relationships through the World Wide Web
"Michael L. Kent, Professor",Toward a dialogic theory of public relations
"Michael L. Kent, Professor",How activist organizations are using the Internet to build relationships
"Michael L. Kent, Professor",Dialogic engagement: Clarifying foundational concepts
"Michael L. Kent, Professor",The relationship between Web site design and organizational responsiveness to stakeholders
"Michael L. Kent, Professor",Critical analysis of blogging in public relations
"Michael L. Kent, Professor",Using social media dialogically: Public relations role in reviving democracy
"Michael L. Kent, Professor",Anticipatory socialization in the use of social media in public relations: A content analysis of PRSA's Public Relations Tactics
"Michael L. Kent, Professor",The power of storytelling in public relations: Introducing the 20 master plots
"Michael L. Kent, Professor",Taxonomy of mediated crisis responses
Michael J Morley,Changing patterns of global staffing in the multinational enterprise: Challenges to the conventional expatriate assignment and emerging alternatives
Michael J Morley,Human capital accumulation: the role of human resource development
Michael J Morley,Human resource management in Europe: Evidence of convergence?
Michael J Morley,"On temporary organizations: A review, synthesis and research agenda"
Michael J Morley,Person‐organization fit
Michael J Morley,360 degree feedback: its role in employee development
Michael J Morley,Rating versus ranking: What is the best way to reduce response and language bias in cross-national research?
Michael J Morley,Human resource development and workplace learning: emerging theoretical perspectives and organisational practices
Michael J Morley,New challenges for European resource management
Michael J Morley,Contemporary HRD research: a triarchy of theoretical perspectives and their prescriptions for HRD
Piyush Sharma,Impulse buying and variety seeking: A trait-correlates perspective
Piyush Sharma,Impact of store environment on impulse buying behavior
Piyush Sharma,Country of origin effects in developed and emerging markets: Exploring the contrasting roles of materialism and value consciousness
Piyush Sharma,Managing uncertainty during a global pandemic: An international business perspective
Piyush Sharma,Measuring personal cultural orientations: Scale development and validation
Piyush Sharma,"Internal service quality as a driver of employee satisfaction, commitment and performance"
Piyush Sharma,Consumer ethnocentrism: Reconceptualization and cross-cultural validation
Piyush Sharma,"Marketing resources, performance, and competitive advantage: A review and future research directions"
Piyush Sharma,Demystifying intercultural service encounters: Toward a comprehensive conceptual framework
Piyush Sharma,"Impact of product differentiation, marketing investments and brand equity on pricing strategies"
Craig S. Hakkio,Is the budget deficit “too large?”
Craig S. Hakkio,"Financial stress: What is it, how can it be measured, and why does it matter"
Craig S. Hakkio,Cointegration: how short is the long run?
Craig S. Hakkio,Conditional variance and the risk premium in the foreign exchange market
Craig S. Hakkio,Market efficiency and cointegration: an application to the sterling and deutschemark exchange markets
Craig S. Hakkio,A re-examination of purchasing power parity: A multi-country and multi-period study
Craig S. Hakkio,Expectations and the forward exchange rate
Craig S. Hakkio,The reaction of exchange rates to economic news
Craig S. Hakkio,Does the exchange rate follow a random walk? A Monte Carlo study of four tests for a random walk
Craig S. Hakkio,What is the effect of financial stress on economic activity
