Author Id,Name,Affiliation,Email,citedby,citedby5y,hindex,hindex5y,Interests
h9jjpBgAAAAJ,Harry Sapienza,Curtis L. Carlson Chair in Entrepreneurial Studies,@umn.edu,37226,9944,65,39,"Entrepreneurship, Strategy, International, Innovation"
d5hVjAYAAAAJ,Peter Wysocki,"Professor of Accounting, University of Miami",@miami.edu,20478,7638,30,23,"Accounting, Disclosure, Capital Markets Research, International"
UVHAPl4AAAAJ,Linda Goldberg,Federal Reserve Bank of New York and NBER,@ny.frb.org,18043,4927,57,36,"Economics, Finance, International, Banking"
1dUBENQAAAAJ,john l. graham,"professor of business, university of california, irvine",@uci.edu,16435,2584,52,21,"international, marketing, negotiation"
8I_qGlEAAAAJ,Margarethe Wiersema,"Dean's Professor of Management, University of California Irvine",@uci.edu,14972,4414,34,29,"management, stategy, international, governance, executives"
odFPj7cAAAAJ,Ole-Kristian Hope,"Deloitte Professor of Accounting; Professor of Accounting; PhD Coordinator; Rotman School of Management, University of Toronto",@rotman.utoronto.ca,14831,7059,52,43,"Financial reporting, disclosure, international, auditing, corporate finance"
NKLVEFUAAAAJ,"Michael L. Kent, Professor",University of New South Wales (UNSW),@unsw.edu.au,12017,5203,40,30,"Public Relations, Dialogue, International, New Technology, Metaphor"
RGquCPAAAAAJ,Michael J Morley,"Professor of Management, Kemmy Business School, University of Limerick",@ul.ie,10179,3569,52,29,"International, Comparative, Cross-Cultural Human Resource Management"
uzhznKAAAAAJ,Piyush Sharma,"John Curtin Distinguished Professor, Curtin University, Perth, Australia",@curtin.edu.au,9637,7077,51,45,"Marketing, Consumer, Services, International, Culture"
mkbf4hUAAAAJ,Craig S. Hakkio,Federal Reserve Bank of Kansas City,@kc.frb.org,7050,1202,27,15,"International, macro-economics, monetary policy"
