Author-Paper Id,author_id,Title,Year,Citations
h9jjpBgAAAAJ:IjCSPb-OGe4C,h9jjpBgAAAAJ,"Entrepreneurship and dynamic capabilities: A review, model and research agenda",2006,4790
h9jjpBgAAAAJ:u-x6o8ySG0sC,h9jjpBgAAAAJ,"Effects of age at entry, knowledge intensity, and imitability on international growth",2000,4175
h9jjpBgAAAAJ:u5HHmVD_uO8C,h9jjpBgAAAAJ,"Social capital, knowledge acquisition, and knowledge exploitation in young technology‐based firms",2001,4086
h9jjpBgAAAAJ:Tyk-4Ss8FVUC,h9jjpBgAAAAJ,A capabilities perspective on the effects of early internationalization on firm survival and growth,2006,2066
h9jjpBgAAAAJ:d1gkVwhDpl0C,h9jjpBgAAAAJ,"Building commitment, attachment, and trust in strategic decision-making teams: The role of procedural justice",1995,1857
h9jjpBgAAAAJ:UeHWp8X0CEIC,h9jjpBgAAAAJ,The effects of top management team size and interaction norms on cognitive and affective conflict,1997,1664
h9jjpBgAAAAJ:9yKSN-GCB0IC,h9jjpBgAAAAJ,The internationalization of new high-potential US ventures: Antecedents and outcomes,1996,1611
h9jjpBgAAAAJ:J_g5lzvAfSwC,h9jjpBgAAAAJ,Venture capitalist governance and value added in four countries,1996,1291
h9jjpBgAAAAJ:qjMakFHDy7sC,h9jjpBgAAAAJ,When do venture capitalists add value?,1992,1162
h9jjpBgAAAAJ:YsMSGLbcyi4C,h9jjpBgAAAAJ,Stakeholder management and corporate performance,1990,797
d5hVjAYAAAAJ:9ZlFYXVOiuMC,d5hVjAYAAAAJ,Earnings management and investor protection: an international comparison,2003,7355
d5hVjAYAAAAJ:u5HHmVD_uO8C,d5hVjAYAAAAJ,Earnings management and investor protection: an international comparison,2003,7355
d5hVjAYAAAAJ:d1gkVwhDpl0C,d5hVjAYAAAAJ,Do managers withhold bad news?,2009,2548
d5hVjAYAAAAJ:roLk4NBRz8UC,d5hVjAYAAAAJ,The economics of disclosure and financial reporting regulation: Evidence and suggestions for future research,2016,1689
d5hVjAYAAAAJ:u-x6o8ySG0sC,d5hVjAYAAAAJ,The walk‐down to beatable analyst forecasts: The role of equity issuance and insider trading incentives,2004,1195
d5hVjAYAAAAJ:9yKSN-GCB0IC,d5hVjAYAAAAJ,Economic consequences of financial reporting and disclosure regulation: A review and suggestions for future research,2008,937
d5hVjAYAAAAJ:qjMakFHDy7sC,d5hVjAYAAAAJ,Discretionary disclosure and stock-based incentives,2003,877
d5hVjAYAAAAJ:ZeXyd9-uunAC,d5hVjAYAAAAJ,Portfolio preferences of foreign institutional investors,2005,736
d5hVjAYAAAAJ:2osOgNQ5qMEC,d5hVjAYAAAAJ,Portfolio preferences of foreign institutional investors,2005,736
d5hVjAYAAAAJ:zYLM7Y9cAGgC,d5hVjAYAAAAJ,Global accounting convergence and the potential adoption of IFRS by the US (Part I): Conceptual underpinnings and economic analysis,2010,735
UVHAPl4AAAAJ:u5HHmVD_uO8C,UVHAPl4AAAAJ,Exchange rate pass-through into import prices,2005,2634
UVHAPl4AAAAJ:zYLM7Y9cAGgC,UVHAPl4AAAAJ,Global banks and international shock transmission: Evidence from the crisis,2011,1014
UVHAPl4AAAAJ:M3ejUd6NZC8C,UVHAPl4AAAAJ,Banking globalization and monetary transmission,2012,955
UVHAPl4AAAAJ:2osOgNQ5qMEC,UVHAPl4AAAAJ,Vehicle currency use in international trade,2008,852
UVHAPl4AAAAJ:9yKSN-GCB0IC,UVHAPl4AAAAJ,"Foreign direct investment, exchange rate variability and demand uncertainty",1995,777
UVHAPl4AAAAJ:d1gkVwhDpl0C,UVHAPl4AAAAJ,The evolving external orientation of manufacturing industries: evidence from four countries,1997,711
UVHAPl4AAAAJ:D_tqNUsBuKoC,UVHAPl4AAAAJ,Foreign and domestic bank participation in emerging markets: Lessons from Mexico and Argentina,2000,544
UVHAPl4AAAAJ:aqlVkmm33-oC,UVHAPl4AAAAJ,Liquidity management of US global banks: Internal capital markets in the great recession,2012,512
UVHAPl4AAAAJ:UeHWp8X0CEIC,UVHAPl4AAAAJ,"Investment in manufacturing, exchange rates and external exposure",1995,439
UVHAPl4AAAAJ:qjMakFHDy7sC,UVHAPl4AAAAJ,Exchange rates and investment in United States industry,1993,428
1dUBENQAAAAJ:8AbLer7MMksC,1dUBENQAAAAJ,International marketing,2011,3271
1dUBENQAAAAJ:WF5omc3nYNoC,1dUBENQAAAAJ,A dyadic study of interpersonal information search,1998,1440
1dUBENQAAAAJ:5Ul4iDaHHb8C,1dUBENQAAAAJ,A field study of causal inferences and consumer reaction: the view from the airport,1987,1043
1dUBENQAAAAJ:yD5IFk8b50cC,1dUBENQAAAAJ,Cross-cultural interaction: the international comparison fallacy?,2017,820
1dUBENQAAAAJ:dhFuZR0502QC,1dUBENQAAAAJ,Explorations of national culture and word-of-mouth referral behavior in the purchase of industrial services in the United States and Japan,1998,694
1dUBENQAAAAJ:4TOpqqG69KYC,1dUBENQAAAAJ,Marketing internacional,2013,661
1dUBENQAAAAJ:abG-DnoFyZgC,1dUBENQAAAAJ,The influence of culture on the process of business negotiations: An exploratory study,1985,507
1dUBENQAAAAJ:EUQCXRtRnyEC,1dUBENQAAAAJ,The chinese negotiation,2003,489
1dUBENQAAAAJ:KlAtU1dfN6UC,1dUBENQAAAAJ,Explorations of negotiation behaviors in ten foreign cultures using a model developed in the United States,1994,481
1dUBENQAAAAJ:_FxGoFyzp5QC,1dUBENQAAAAJ,Gaining compliance and losing weight: The role of the service provider in health care services,2004,458
8I_qGlEAAAAJ:u5HHmVD_uO8C,8I_qGlEAAAAJ,Top management team demography and corporate strategic change,1992,4761
8I_qGlEAAAAJ:u-x6o8ySG0sC,8I_qGlEAAAAJ,A resource‐based approach to the multibusiness firm: Empirical analysis of portfolio interrelationships and corporate financial performance,1995,1168
8I_qGlEAAAAJ:d1gkVwhDpl0C,8I_qGlEAAAAJ,Strategic flexibility in information technology alliances: The influence of transaction cost economics and social exchange theory,1999,1078
8I_qGlEAAAAJ:2osOgNQ5qMEC,8I_qGlEAAAAJ,Top management team turnover as an adaptation mechanism: The role of the environment,1993,735
8I_qGlEAAAAJ:9yKSN-GCB0IC,8I_qGlEAAAAJ,"Organizational demography in Japanese firms: Group heterogeneity, individual dissimilarity, and top management team turnover",1993,673
8I_qGlEAAAAJ:roLk4NBRz8UC,8I_qGlEAAAAJ,Stock market reaction to CEO certification: The signaling role of CEO background,2009,606
8I_qGlEAAAAJ:YsMSGLbcyi4C,8I_qGlEAAAAJ,The use of limited dependent variable techniques in strategy research: Issues and methods,2009,560
8I_qGlEAAAAJ:Tyk-4Ss8FVUC,8I_qGlEAAAAJ,"Corporate diversification: The impact of foreign competition, industry globalization, and product diversification",2008,459
8I_qGlEAAAAJ:7PzlFSSx8tAC,8I_qGlEAAAAJ,Matching method to paradigm in strategy research: limitations of cross‐sectional analysis and some methodological alternatives,1999,412
8I_qGlEAAAAJ:qjMakFHDy7sC,8I_qGlEAAAAJ,Matching method to paradigm in strategy research: limitations of cross‐sectional analysis and some methodological alternatives,1999,412
odFPj7cAAAAJ:u5HHmVD_uO8C,odFPj7cAAAAJ,"Disclosure practices, enforcement of accounting standards, and analysts' forecast accuracy: An international study",2003,1720
odFPj7cAAAAJ:eQOLeE2rZwMC,odFPj7cAAAAJ,Financial reporting quality and investment efficiency of private firms in emerging markets,2011,1385
odFPj7cAAAAJ:9yKSN-GCB0IC,odFPj7cAAAAJ,Managerial empire building and firm disclosure,2008,969
odFPj7cAAAAJ:d1gkVwhDpl0C,odFPj7cAAAAJ,"Differences between domestic accounting standards and IAS: Measurement, determinants and implications",2007,872
odFPj7cAAAAJ:u-x6o8ySG0sC,odFPj7cAAAAJ,Firm‐level disclosures and the relative roles of culture and legal origin,2003,766
odFPj7cAAAAJ:QIV2ME_5wuYC,odFPj7cAAAAJ,Financial reporting quality of US private and public firms,2013,495
odFPj7cAAAAJ:a0OBvERweLwC,odFPj7cAAAAJ,The benefits of specific risk-factor disclosures,2016,451
odFPj7cAAAAJ:qjMakFHDy7sC,odFPj7cAAAAJ,Empirical evidence on jurisdictions that adopt IFRS,2006,450
odFPj7cAAAAJ:Y0pCki6q_DkC,odFPj7cAAAAJ,Auditor independence in a private firm and low litigation risk setting,2010,430
