Author Id,Name,Affiliation,Email,citedby,citedby5y,hindex,hindex5y,Interests
JicYPdAAAAAJ,Geoffrey Hinton,"Emeritus Prof. Computer Science, University of Toronto",@cs.toronto.edu,793521,503438,181,131,"machine learning, psychology, artificial intelligence, cognitive science, computer science"
kukA0LcAAAAJ,Yoshua Bengio,"Professor of computer science, University of Montreal, Mila, IVADO, CIFAR",@umontreal.ca,772733,591441,233,205,"Machine learning, deep learning, artificial intelligence"
DhtAFkwAAAAJ,Kaiming He,"Associate Professor, EECS, MIT",@mit.edu,556239,494548,68,64,"Computer Vision, Machine Learning"
x04W_mMAAAAJ,Ilya Sutskever,Co-Founder and Chief Scientist of OpenAI,@openai.com,493189,387478,91,86,"Machine Learning, Neural Networks, Artificial Intelligence, Deep Learning"
ZpG_cJwAAAAJ,Robert Tibshirani,"Professor of Biomedical Data Sciences, and  of  Statistics, Stanford University",@stanford.edu,487745,196449,181,120,"Statistics, data science, Machine Learning"
W8VIEZgAAAAJ,Ross Girshick,"Research Scientist, Allen Institute for Artificial Intelligence (AI2)",@allenai.org,454943,384860,82,77,"computer vision, machine learning"
UZ5wscMAAAAJ,Andrew Zisserman,University of Oxford,@robots.ox.ac.uk,407697,240034,196,126,"Computer Vision, Machine Learning"
tQVe-fAAAAAJ,Trevor Hastie,"Professor of Statistics, Stanford University",@stanford.edu,358193,161411,155,113,"Statistical learning and modeling, data mining, machine learning"
WLN3QrAAAAAJ,Yann LeCun,"Chief AI Scientist at Facebook & Silver Professor at the Courant Institute, New York University",@cs.nyu.edu,349119,238428,147,114,"AI, machine learning, computer vision, robotics, image compression"
vtegaJgAAAAJ,vapnik,"Professor of Columbia, Fellow of NEC Labs America, ",@nec-labs.com,309268,104599,103,68,"machine learning, statistics, computer science"
