Author-Paper Id,Author,Title,Year,Citations
JicYPdAAAAAJ:VN7nJs4JPk0C,Geoffrey Hinton,Imagenet classification with deep convolutional neural networks,2012,153161
JicYPdAAAAAJ:C-SEpTPhZ1wC,Geoffrey Hinton,Deep learning,2015,75329
JicYPdAAAAAJ:GFxP56DSvIMC,Geoffrey Hinton,Learning internal representations by error-propagation,1986,58019
JicYPdAAAAAJ:Ic1VZgkJnDsC,Geoffrey Hinton,Dropout: a simple way to prevent neural networks from overfitting,2014,49596
JicYPdAAAAAJ:ZeXyd9-uunAC,Geoffrey Hinton,Visualizing data using t-SNE,2008,44980
JicYPdAAAAAJ:xckinRaLORAC,Geoffrey Hinton,Learning representations by back-propagating errors,1986,37364
JicYPdAAAAAJ:fPk4N6BV_jEC,Geoffrey Hinton,Learning multiple layers of features from tiny images,2009,28789
JicYPdAAAAAJ:D_sINldO8mEC,Geoffrey Hinton,Rectified linear units improve restricted boltzmann machines,2010,24477
JicYPdAAAAAJ:WF5omc3nYNoC,Geoffrey Hinton,Reducing the dimensionality of data with neural networks,2006,22353
JicYPdAAAAAJ:YsMSGLbcyi4C,Geoffrey Hinton,A fast learning algorithm for deep belief nets,2006,21041
kukA0LcAAAAJ:naSTrk-c4S8C,Yoshua Bengio,Deep learning,2015,75348
kukA0LcAAAAJ:i8eIfGGcn98C,Yoshua Bengio,Generative adversarial nets,2014,75310
kukA0LcAAAAJ:u5HHmVD_uO8C,Yoshua Bengio,Gradient-based learning applied to document recognition,1998,63599
kukA0LcAAAAJ:orDZ08hpP44C,Yoshua Bengio,Deep learning,2016,61752
kukA0LcAAAAJ:__bU50VfleQC,Yoshua Bengio,Neural machine translation by jointly learning to align and translate,2014,33719
kukA0LcAAAAJ:kJDgFkosVoMC,Yoshua Bengio,Learning phrase representations using RNN encoder-decoder for statistical machine translation,2014,28550
kukA0LcAAAAJ:D_sINldO8mEC,Yoshua Bengio,Understanding the difficulty of training deep feedforward neural networks,2010,23772
kukA0LcAAAAJ:N6_Y7JlWxwsC,Yoshua Bengio,Graph attention networks,2017,19539
kukA0LcAAAAJ:SxCCDk4iOpsC,Yoshua Bengio,Empirical evaluation of gated recurrent neural networks on sequence modeling,2014,15469
kukA0LcAAAAJ:jFemdcug13IC,Yoshua Bengio,Representation learning: A review and new perspectives,2013,15255
DhtAFkwAAAAJ:ALROH1vI_8AC,Kaiming He,Deep Residual Learning for Image Recognition,2016,217367
DhtAFkwAAAAJ:uDGL6kOW6j0C,Kaiming He,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,2015,73150
DhtAFkwAAAAJ:jU7OWUQzBzMC,Kaiming He,Mask R-CNN,2017,35231
DhtAFkwAAAAJ:3NQIlFlcGxIC,Kaiming He,Focal Loss for Dense Object Detection,2017,28851
DhtAFkwAAAAJ:WHdLCjDvYFkC,Kaiming He,Feature Pyramid Networks for Object Detection,2017,25234
DhtAFkwAAAAJ:CaZNVDsoPx4C,Kaiming He,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,2015,23898
DhtAFkwAAAAJ:u-coK7KVo8oC,Kaiming He,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,2014,14859
DhtAFkwAAAAJ:PaBasH6fAo0C,Kaiming He,Learning a Deep Convolutional Network for Image Super-Resolution,2014,13847
DhtAFkwAAAAJ:MpfHP-DdYjUC,Kaiming He,Aggregated Residual Transformations for Deep Neural Networks,2017,12038
DhtAFkwAAAAJ:ubry08Y2EpUC,Kaiming He,Identity Mappings in Deep Residual Networks,2016,11774
x04W_mMAAAAJ:UebtZRa9Y70C,Ilya Sutskever,Imagenet classification with deep convolutional neural networks,2012,153904
x04W_mMAAAAJ:4aZ_i-5WJEQC,Ilya Sutskever,Tensorflow: Large-scale machine learning on heterogeneous distributed systems,2016,52722
x04W_mMAAAAJ:1yWc8FF-_SYC,Ilya Sutskever,Dropout: a simple way to prevent neural networks from overfitting,2014,49577
x04W_mMAAAAJ:kNdYIx-mwKoC,Ilya Sutskever,Distributed representations of words and phrases and their compositionality,2013,43176
x04W_mMAAAAJ:-DxkuPiZhfEC,Ilya Sutskever,Sequence to sequence learning with neural networks,2014,25543
x04W_mMAAAAJ:Ic1VZgkJnDsC,Ilya Sutskever,Language models are few-shot learners,2020,23740
x04W_mMAAAAJ:PyEswDtIyv0C,Ilya Sutskever,Mastering the game of Go with deep neural networks and tree search,2016,18504
x04W_mMAAAAJ:Zph67rFs4hoC,Ilya Sutskever,Intriguing properties of neural networks,2013,16123
x04W_mMAAAAJ:wUn16MOA3RoC,Ilya Sutskever,Learning transferable visual models from natural language supervision,2021,14832
x04W_mMAAAAJ:LkGwnXOMwfcC,Ilya Sutskever,Improving neural networks by preventing co-adaptation of feature detectors,2012,11053
ZpG_cJwAAAAJ:QxtoOqDH1aQC,Robert Tibshirani,elements of statistical learning,,78594
ZpG_cJwAAAAJ:qjMakFHDy7sC,Robert Tibshirani,Regression shrinkage and selection via the lasso,1996,58271
ZpG_cJwAAAAJ:u5HHmVD_uO8C,Robert Tibshirani,An introduction to the bootstrap,1994,53504
ZpG_cJwAAAAJ:ult01sCh7k0C,Robert Tibshirani,an introduction to statistical learning,,21109
ZpG_cJwAAAAJ:zJAXUfKFhq0C,Robert Tibshirani,An introduction to statistical learning,2013,20720
ZpG_cJwAAAAJ:MSzX15-gZgkC,Robert Tibshirani,Regularization paths for generalized linear models via coordinate descent,2010,17379
ZpG_cJwAAAAJ:Y0pCki6q_DkC,Robert Tibshirani,Gene expression patterns of breast carcinomas distinguish tumor subclasses with clinical implications,2001,17157
ZpG_cJwAAAAJ:9yKSN-GCB0IC,Robert Tibshirani,Significance analysis of microarrays applied to the ionizing radiation response,2001,14501
ZpG_cJwAAAAJ:2osOgNQ5qMEC,Robert Tibshirani,Distinct types of diffuse large B-cell lymphoma identified by gene expression profiling,2000,12477
ZpG_cJwAAAAJ:W7OEmFMy1HYC,Robert Tibshirani,Least angle regression,2004,12416
W8VIEZgAAAAJ:9c2xU6iGI7YC,Ross Girshick,Faster R-CNN: Towards real-time object detection with region proposal networks,2015,73114
W8VIEZgAAAAJ:QYdC8u9Cj1oC,Ross Girshick,"You only look once: Unified, real-time object detection",2016,46280
W8VIEZgAAAAJ:5icHVeHT4IsC,Ross Girshick,Microsoft coco: Common objects in context,2014,45844
W8VIEZgAAAAJ:MXK_kJrjxJIC,Ross Girshick,Rich feature hierarchies for accurate object detection and semantic segmentation,2014,38737
W8VIEZgAAAAJ:ZzlSgRqYykMC,Ross Girshick,Mask R-CNN,2017,34590
W8VIEZgAAAAJ:IRz6iEL74y4C,Ross Girshick,Fast R-CNN,2015,33333
W8VIEZgAAAAJ:tH6gc1N1XXoC,Ross Girshick,Focal loss for dense object detection,2017,28956
W8VIEZgAAAAJ:Ehil0879vHcC,Ross Girshick,Feature pyramid networks for object detection,2017,25356
