Author Id,Name,Affiliation,Email,Interests
gAxRsSAAAAAJ,Henry Mintzberg,McGill University,@mcgill.ca,"management, organization, strategy, rebalancing society"
r4ZImFAAAAAJ,R. P. Bagozzi,"Professor of Behavioral Science in Management, University of Michigan",@umich.edu,"Marketing, Management, social psychology, statistics, neuroscience"
kbmkIQQAAAAJ,Prof. Imam Ghozali,Diponegoro university,@undip.ac.id,"Accounting, Management, finance.structural equation model ini, pls"
C-7sFjEAAAAJ,Viswanath Venkatesh,Virginia Tech,@vt.edu,"Information Systems, Operations Management, Management, Psychology, Technology Adoption"
pAt6DnIAAAAJ,Fred Luthans,University of Nebraska,@unl.edu,"Management, Organizational Behavior"
_j5GJoUAAAAJ,Maziar Dehghan,Amirkabir University Of Technology,@aut.ac.ir,"Information Technology, Medical Tourism, Management, Electronic, Biomedical"
APhUMtEAAAAJ,David Audretsch,Indiana University & Alpen-Adria-Universität Klagenfurt,@indiana.edu,"Entrepreneurship, Economics, Innovation, Economic Development, Management"
YmoiCIcAAAAJ,ronald s. burt,Bocconi University and University of Chicago,@unibocconi.it,"sociology, behavioral science, social networks, management"
xsQ0B9IAAAAJ,Mats Alvesson,"professor i företagsekonomi, Lunds Universitet",@fek.lu.se,"organization studies, management, leadership, critical theory, qualitative method"
AZxJWdcAAAAJ,Nathan Podsakoff,University of Arizona,@email.arizona.edu,"Management, Organizational Behavior, Industrial and Organizational Psychology, Organizational Research Methods"
