Author,Paper Title
"Joseph F. Hair, Jr.",Multivariate Data Analysis
"Joseph F. Hair, Jr.",Multivariate data analysis
"Joseph F. Hair, Jr.",Multivariate data analysis
"Joseph F. Hair, Jr.",Partial least squares structural equation modeling (PLS-SEM) using R: A workbook
"Joseph F. Hair, Jr.",PLS-SEM: Indeed a silver bullet
"Joseph F. Hair, Jr.",Análise multivariada de dados
"Joseph F. Hair, Jr.",When to use and how to report the results of PLS-SEM
"Joseph F. Hair, Jr.",Partial least squares structural equation modeling (PLS-SEM): An emerging tool in business research
"Joseph F. Hair, Jr.",An assessment of the use of partial least squares structural equation modeling in marketing research
"Joseph F. Hair, Jr.",Análisis multivariante
Valarie Zeithaml,Servqual: A multiple-item scale for measuring consumer perc
Valarie Zeithaml,A conceptual model of service quality and its implications for future research
Valarie Zeithaml,"Consumer perceptions of price, quality, and value: a means-end model and synthesis of evidence"
Valarie Zeithaml,Services marketing: Integrating customer focus across the firm
Valarie Zeithaml,The behavioral consequences of service quality
Valarie Zeithaml,Delivering quality service: Balancing customer perceptions and expectations
Valarie Zeithaml,Refinement and reassessment of the SERVQUAL scale
Valarie Zeithaml,A dynamic process model of service quality: from expectations to behavioral intentions
Valarie Zeithaml,ES-QUAL: A multiple-item scale for assessing electronic service quality
Valarie Zeithaml,Reassessment of expectations as a comparison standard in measuring service quality: implications for further research
Marko Sarstedt,A Primer on partial least squares structural equation modeling (PLS-SEM)
Marko Sarstedt,A new criterion for assessing discriminant validity in variance-based structural equation modeling
Marko Sarstedt,A new criterion for assessing discriminant validity in variance-based structural equation modeling
Marko Sarstedt,PLS-SEM: Indeed a silver bullet
Marko Sarstedt,When to use and how to report the results of PLS-SEM
Marko Sarstedt,Partial least squares structural equation modeling (PLS-SEM): An emerging tool in business research
Marko Sarstedt,An assessment of the use of partial least squares structural equation modeling in marketing research
Marko Sarstedt,"Partial least squares structural equation modeling: Rigorous applications, better results and higher acceptance"
Marko Sarstedt,Advanced issues in partial least squares structural equation modeling
Marko Sarstedt,Common beliefs and reality about PLS comments on Rönkkö and Evermann (2013)
R. P. Bagozzi,User acceptance of computer technology: a comparison of two theoretical models
R. P. Bagozzi,On the evaluation of structural equation models
R. P. Bagozzi,Extrinsic and Intrinsic Motivation to Use Computers in the Workplace1
R. P. Bagozzi,Assessing construct validity in organizational research
R. P. Bagozzi,The role of emotions in marketing
R. P. Bagozzi,"Specification, evaluation, and interpretation of structural equation models"
R. P. Bagozzi,marketing as exchange
R. P. Bagozzi,A social influence model of consumer participation in network-and small-group-based virtual communities
R. P. Bagozzi,"The self-regulation of attitudes, intentions, and behavior"
R. P. Bagozzi,Representing and testing organizational theories: A holistic construal
Kevin Lane Keller,"Conceptualizing, measuring, and managing customer-based brand equity"
Kevin Lane Keller,"Strategic brand management: Building, measuring, and managing brand equity"
Kevin Lane Keller,Dirección de marketing
Kevin Lane Keller,Marketing for hospitality and tourism
Kevin Lane Keller,"Marketing management, millenium edition"
Kevin Lane Keller,Consumer evaluations of brand extensions
Kevin Lane Keller,Marketing management: a South Asian perspectives
Kevin Lane Keller,"Manajemen pemasaran, edisi 13"
Kevin Lane Keller,Brands and branding: Research findings and future priorities
Kevin Lane Keller,Building customer-based brand equity: A blueprint for creating strong brands
Claes Fornell,Evaluating structural equation models with unobservable variables and measurement error
Claes Fornell,A national customer satisfaction barometer: The Swedish experience
Claes Fornell,"Customer satisfaction, market share, and profitability: Findings from Sweden"
Claes Fornell,"The American customer satisfaction index: nature, purpose, and findings"
Claes Fornell,Two structural equation models: LISREL and PLS applied to consumer exit-voice theory
Claes Fornell,"Customer satisfaction, productivity, and profitability: Differences between goods and services"
Claes Fornell,Defensive marketing strategy by customer complaint management: a theoretical analysis
Claes Fornell,Customer satisfaction and shareholder value
Claes Fornell,A second generation of multivariate analysis
Claes Fornell,A framework for comparing customer satisfaction across individuals and product categories
Scott B. MacKenzie,Common method biases in behavioral research: a critical review of the literature and recommended remedies.
Scott B. MacKenzie,Sources/Causes of Common Method Bias in Social Science Research and Recommendations on How toControl It
Scott B. MacKenzie,Organizational citizenship behaviors: A critical review of the theoretical and empirical literature and suggestions for future research
Scott B. MacKenzie,"Transformational leader behaviors and their effects on followers' trust in leader, satisfaction, and organizational citizenship behaviors"
Scott B. MacKenzie,A critical review of construct indicators and measurement model misspecification in marketing and consumer research
Scott B. MacKenzie,"Organizational citizenship behavior: Its nature, antecedents, and consequences"
Scott B. MacKenzie,The role of attitude toward the ad as a mediator of advertising effectiveness: A test of competing explanations
Scott B. MacKenzie,An empirical examination of the structural antecedents of attitude toward the ad in an advertising pretesting context
Scott B. MacKenzie,A reexamination of the determinants of consumer satisfaction
Scott B. MacKenzie,Construct measurement and validation procedures in MIS and behavioral research: Integrating new and existing techniques
DAvid Aaker,Managing brand equity: Capitalizing on the value of a brand name
DAvid Aaker,Building strong brands
DAvid Aaker,Making sense of qualitative data: Complementary research strategies.
DAvid Aaker,Measuring brand equity across products and markets.
DAvid Aaker,Marketing research
DAvid Aaker,Consumer evaluations of brand extensions
DAvid Aaker,Strategic market management
DAvid Aaker,Brand leadership
DAvid Aaker,Advertising management
DAvid Aaker,The effects of sequential introduction of brand extensions
Mak,Immunologic Self-Tolerance Maintained by Cd25+Cd4+Regulatory T Cells Constitutively Expressing Cytotoxic T Lymphocyte–Associated Antigen 4
Mak,Caspase functions in cell death and disease
Mak,TNF and ROS crosstalk in inflammation
Mak,Conservation of the Notch signalling pathway in mammalian neurogenesis
Mak,Hepatocyte-specific Pten deficiency results in steatohepatitis and hepatocellular carcinomas
Mak,"Noncanonical NF-κB activation requires coordinated assembly of a regulatory complex of the adaptors cIAP1, cIAP2, TRAF2 and TRAF3 and the kinase NIK"
Mak,T cell-specific loss of Pten leads to defects in central and peripheral tolerance
Mak,"DJ-1, a novel regulator of the tumor suppressor PTEN"
Mak,Rearrangement of antigen receptor genes is defective in mice with severe combined immune deficiency
Mak,Requirement for Casper (c-FLIP) in regulation of death receptor–induced apoptosis and embryonic development
Chao Zhang,Clinical efficacy of a RAF inhibitor needs broad target blockade in BRAF-mutant melanoma
Chao Zhang,RAF inhibitors transactivate RAF dimers and ERK signalling in cells with wild-type BRAF
Chao Zhang,IRE1 signaling affects cell fate during the unfolded protein response
Chao Zhang,Discovery of a selective inhibitor of oncogenic B-Raf kinase with potent antimelanoma activity
Chao Zhang,RAS Mutations in Cutaneous Squamous-Cell Carcinomas in Patients Treated with BRAF Inhibitors
Chao Zhang,Vemurafenib: the first drug approved for BRAF-mutant cancer
Chao Zhang,Quantifying hot carrier and thermal contributions in plasmonic photocatalysis
Chao Zhang,The unfolded protein response signals through high-order assembly of Ire1
Chao Zhang,Rapid self-healing hydrogels
Chao Zhang,"Structural bioinformatics-based design of selective, irreversible kinase inhibitors"
