Author Id,Name,Affiliation,Email,Interests
jMVuQpsAAAAJ,"Joseph F. Hair, Jr.","University of South Alabama, Cleverdon Chair of Business",@southalabama.edu,"multivariate analysis, business analytics, marketing, structural equation modeling, PLS"
fxbJ16gAAAAJ,Valarie Zeithaml,"Marketing Department, University of North Carolina at Chapel Hill",@unc.edu,"marketing, services marketing, service management"
KnnmEP4AAAAJ,Marko Sarstedt,Ludwig-Maximilians-University Munich,@lmu.de,"Marketing, Structural Equation Modeling, Consumer Behavior, PLS, Research Methods"
r4ZImFAAAAAJ,R. P. Bagozzi,"Professor of Behavioral Science in Management, University of Michigan",@umich.edu,"Marketing, Management, social psychology, statistics, neuroscience"
x8xNLZQAAAAJ,Kevin Lane Keller,Tuck School of Business at Dartmouth College,@dartmouth.edu,"Marketing, Branding, Brands, Brand Management"
jVXA0pIAAAAJ,Claes Fornell,"Chairman and Founder, American Customer Satisfaction Index",@umich.edu,"Customer Satisfaction, Marketing, Customer Experience Management"
OBAePKYAAAAJ,Scott B. MacKenzie,"Professor Emeritus of Marketing, Indiana University",@indiana.edu,"Marketing, consumer behavior, research methods, advertising, leadership"
0mVXoxYAAAAJ,DAvid Aaker,"Prophet, BerkeleyHaas School of Business, University of California",@prophet.com,"Marketing, branding, strategy, stories, growth"
OOQN8kgAAAAJ,Mak,Unknown affiliation,,Marketing
-uo0qGIAAAAJ,Chao Zhang,"student of business management, Salford University",,"business, marketing, psychology, history"
