Author-Paper Id,Author,Title,Year,Citations
jMVuQpsAAAAJ:MAUkC_7iAq8C,"Joseph F. Hair, Jr.",Multivariate Data Analysis,2010,152387
jMVuQpsAAAAJ:ODE9OILHJdcC,"Joseph F. Hair, Jr.",Multivariate data analysis,2009,150084
jMVuQpsAAAAJ:hMsQuOkrut0C,"Joseph F. Hair, Jr.",Multivariate data analysis,2009,148869
jMVuQpsAAAAJ:d1gkVwhDpl0C,"Joseph F. Hair, Jr.",Partial least squares structural equation modeling (PLS-SEM) using R: A workbook,2021,52773
jMVuQpsAAAAJ:2v_ZtQDX9iAC,"Joseph F. Hair, Jr.",PLS-SEM: Indeed a silver bullet,2011,23808
jMVuQpsAAAAJ:R3hNpaxXUhUC,"Joseph F. Hair, Jr.",Análise multivariada de dados,2009,16504
jMVuQpsAAAAJ:NU-BerS4NX4C,"Joseph F. Hair, Jr.",When to use and how to report the results of PLS-SEM,2019,14777
jMVuQpsAAAAJ:tzM49s52ZIMC,"Joseph F. Hair, Jr.",Partial least squares structural equation modeling (PLS-SEM): An emerging tool in business research,2014,11309
jMVuQpsAAAAJ:tYavs44e6CUC,"Joseph F. Hair, Jr.",An assessment of the use of partial least squares structural equation modeling in marketing research,2012,10015
jMVuQpsAAAAJ:Ak0FvsSvgGUC,"Joseph F. Hair, Jr.",Análisis multivariante,2004,8530
fxbJ16gAAAAJ:u5HHmVD_uO8C,Valarie Zeithaml,Servqual: A multiple-item scale for measuring consumer perc,1988,50777
fxbJ16gAAAAJ:u-x6o8ySG0sC,Valarie Zeithaml,A conceptual model of service quality and its implications for future research,1985,45188
fxbJ16gAAAAJ:d1gkVwhDpl0C,Valarie Zeithaml,"Consumer perceptions of price, quality, and value: a means-end model and synthesis of evidence",1988,32534
fxbJ16gAAAAJ:artPoR2Yc-kC,Valarie Zeithaml,Services marketing: Integrating customer focus across the firm,2018,28747
fxbJ16gAAAAJ:9yKSN-GCB0IC,Valarie Zeithaml,The behavioral consequences of service quality,1996,20968
fxbJ16gAAAAJ:qjMakFHDy7sC,Valarie Zeithaml,Delivering quality service: Balancing customer perceptions and expectations,1990,10451
fxbJ16gAAAAJ:RfUwGJFMQ-0C,Valarie Zeithaml,Refinement and reassessment of the SERVQUAL scale,1991,9067
fxbJ16gAAAAJ:q3oQSFYPqjQC,Valarie Zeithaml,A dynamic process model of service quality: from expectations to behavioral intentions,1993,7925
fxbJ16gAAAAJ:I858iXPj1OkC,Valarie Zeithaml,ES-QUAL: A multiple-item scale for assessing electronic service quality,2005,7334
fxbJ16gAAAAJ:IjCSPb-OGe4C,Valarie Zeithaml,Reassessment of expectations as a comparison standard in measuring service quality: implications for further research,1994,7292
KnnmEP4AAAAJ:K0avj1FDtHUC,Marko Sarstedt,A Primer on partial least squares structural equation modeling (PLS-SEM),2014,49470
KnnmEP4AAAAJ:geHnlv5EZngC,Marko Sarstedt,A new criterion for assessing discriminant validity in variance-based structural equation modeling,2015,25037
KnnmEP4AAAAJ:sK9NQJKSZRcC,Marko Sarstedt,A new criterion for assessing discriminant validity in variance-based structural equation modeling,2015,25033
KnnmEP4AAAAJ:-VEz7GmFoMgC,Marko Sarstedt,PLS-SEM: Indeed a silver bullet,2011,23808
KnnmEP4AAAAJ:crhHmGRhyBgC,Marko Sarstedt,When to use and how to report the results of PLS-SEM,2019,14777
KnnmEP4AAAAJ:_xSYboBqXhAC,Marko Sarstedt,Partial least squares structural equation modeling (PLS-SEM): An emerging tool in business research,2014,12249
KnnmEP4AAAAJ:IjCSPb-OGe4C,Marko Sarstedt,An assessment of the use of partial least squares structural equation modeling in marketing research,2012,10021
KnnmEP4AAAAJ:dfsIfKJdRG4C,Marko Sarstedt,"Partial least squares structural equation modeling: Rigorous applications, better results and higher acceptance",2013,5730
KnnmEP4AAAAJ:_5tno0g5mFcC,Marko Sarstedt,Advanced issues in partial least squares structural equation modeling,2018,5320
KnnmEP4AAAAJ:SP6oXDckpogC,Marko Sarstedt,Common beliefs and reality about PLS comments on Rönkkö and Evermann (2013),2014,3797
r4ZImFAAAAAJ:WwIwg2wKZ0QC,R. P. Bagozzi,User acceptance of computer technology: a comparison of two theoretical models,1989,40241
r4ZImFAAAAAJ:4Yq6kJLCcecC,R. P. Bagozzi,On the evaluation of structural equation models,1988,36483
r4ZImFAAAAAJ:9yKSN-GCB0IC,R. P. Bagozzi,Extrinsic and Intrinsic Motivation to Use Computers in the Workplace1,1992,10111
r4ZImFAAAAAJ:d1gkVwhDpl0C,R. P. Bagozzi,Assessing construct validity in organizational research,1991,9069
r4ZImFAAAAAJ:IjCSPb-OGe4C,R. P. Bagozzi,The role of emotions in marketing,1999,5246
r4ZImFAAAAAJ:RYcK_YlVTxYC,R. P. Bagozzi,"Specification, evaluation, and interpretation of structural equation models",2012,4357
r4ZImFAAAAAJ:DXE8ND7PrJAC,R. P. Bagozzi,marketing as exchange,1975,3984
r4ZImFAAAAAJ:eQOLeE2rZwMC,R. P. Bagozzi,A social influence model of consumer participation in network-and small-group-based virtual communities,2004,3654
r4ZImFAAAAAJ:zYLM7Y9cAGgC,R. P. Bagozzi,"The self-regulation of attitudes, intentions, and behavior",1992,3528
r4ZImFAAAAAJ:2osOgNQ5qMEC,R. P. Bagozzi,Representing and testing organizational theories: A holistic construal,1982,3502
x8xNLZQAAAAJ:u5HHmVD_uO8C,Kevin Lane Keller,"Conceptualizing, measuring, and managing customer-based brand equity",1993,28978
x8xNLZQAAAAJ:d1gkVwhDpl0C,Kevin Lane Keller,"Strategic brand management: Building, measuring, and managing brand equity",2010,25340
x8xNLZQAAAAJ:W2uZP3ddy8sC,Kevin Lane Keller,Dirección de marketing,2001,16484
x8xNLZQAAAAJ:LlXTz_FrCmAC,Kevin Lane Keller,Marketing for hospitality and tourism,2017,7916
x8xNLZQAAAAJ:oMtqKo3K3HAC,Kevin Lane Keller,"Marketing management, millenium edition",2001,7572
x8xNLZQAAAAJ:9yKSN-GCB0IC,Kevin Lane Keller,Consumer evaluations of brand extensions,1990,6755
x8xNLZQAAAAJ:1EqfMoDn7-AC,Kevin Lane Keller,Marketing management: a South Asian perspectives,2013,6416
x8xNLZQAAAAJ:peNFRSk4lDYC,Kevin Lane Keller,"Manajemen pemasaran, edisi 13",2009,4922
x8xNLZQAAAAJ:IjCSPb-OGe4C,Kevin Lane Keller,Brands and branding: Research findings and future priorities,2006,4225
x8xNLZQAAAAJ:QIV2ME_5wuYC,Kevin Lane Keller,Building customer-based brand equity: A blueprint for creating strong brands,2001,3940
jVXA0pIAAAAJ:gsN89kCJA0AC,Claes Fornell,Evaluating structural equation models with unobservable variables and measurement error,1981,134720
jVXA0pIAAAAJ:u-x6o8ySG0sC,Claes Fornell,A national customer satisfaction barometer: The Swedish experience,1992,12325
jVXA0pIAAAAJ:d1gkVwhDpl0C,Claes Fornell,"Customer satisfaction, market share, and profitability: Findings from Sweden",1994,11995
jVXA0pIAAAAJ:9yKSN-GCB0IC,Claes Fornell,"The American customer satisfaction index: nature, purpose, and findings",1996,8699
jVXA0pIAAAAJ:2osOgNQ5qMEC,Claes Fornell,Two structural equation models: LISREL and PLS applied to consumer exit-voice theory,1982,6355
jVXA0pIAAAAJ:IjCSPb-OGe4C,Claes Fornell,"Customer satisfaction, productivity, and profitability: Differences between goods and services",1997,2553
jVXA0pIAAAAJ:UeHWp8X0CEIC,Claes Fornell,Defensive marketing strategy by customer complaint management: a theoretical analysis,1987,2513
jVXA0pIAAAAJ:Tyk-4Ss8FVUC,Claes Fornell,Customer satisfaction and shareholder value,2004,2359
jVXA0pIAAAAJ:eQOLeE2rZwMC,Claes Fornell,A second generation of multivariate analysis,1982,2212
jVXA0pIAAAAJ:Y0pCki6q_DkC,Claes Fornell,A framework for comparing customer satisfaction across individuals and product categories,1991,1809
OBAePKYAAAAJ:u5HHmVD_uO8C,Scott B. MacKenzie,Common method biases in behavioral research: a critical review of the literature and recommended remedies.,2003,75872
