Author,Paper Title
SonBinh Nguyen,Synthesis of graphene-based nanosheets via chemical reduction of exfoliated graphite oxide
SonBinh Nguyen,Graphene-based composite materials
SonBinh Nguyen,Metal–organic framework materials as catalysts
SonBinh Nguyen,Preparation and characterization of graphene oxide paper
SonBinh Nguyen,Functionalized graphene sheets for polymer nanocomposites
SonBinh Nguyen,Stable aqueous dispersions of graphitic nanoplatelets via the reduction of exfoliated graphite oxide in the presence of poly (sodium 4-styrenesulfonate)
SonBinh Nguyen,"Graphene oxide, highly reduced graphene oxide, and graphene: versatile building blocks for carbon‐based materials"
SonBinh Nguyen,Synthesis and exfoliation of isocyanate-treated graphene oxide nanoplatelets
SonBinh Nguyen,Metal–organic framework materials with ultrahigh surface areas: is the sky the limit?
SonBinh Nguyen,Graphene Oxide Papers Modified by Divalent Ions—Enhancing Mechanical Properties via Chemical Cross-Linking
Jonas Peters,Benchmarking heterogeneous electrocatalysts for the oxygen evolution reaction
Jonas Peters,Benchmarking hydrogen evolving reaction and oxygen evolving reaction electrocatalysts for solar water splitting devices
Jonas Peters,Catalytic conversion of nitrogen to ammonia by an iron model complex
Jonas Peters,Synthetic control of excited-state properties in cyclometalated Ir (III) complexes using ancillary ligands
Jonas Peters,Electrocatalytic hydrogen evolution at low overpotentials by cobalt macrocyclic glyoxime and tetraimine complexes
Jonas Peters,Molecular tuning of CO2-to-ethylene conversion
Jonas Peters,Asymmetric copper-catalyzed CN cross-couplings induced by visible light
Jonas Peters,Benchmarking nanoparticulate metal oxide electrocatalysts for the alkaline water oxidation reaction
Jonas Peters,E-Type Delayed Fluorescence of a Phosphine-Supported Cu2(μ-NAr2)2 Diamond Core: Harvesting Singlet and Triplet Excitons in OLEDs
Jonas Peters,Dinitrogen Cleavage by Three-Coordinate Molybdenum(III) Complexes:  Mechanistic and Structural Data1
Thorfinnur Gunnlaugsson,Signaling recognition events with fluorescent sensors and switches
Thorfinnur Gunnlaugsson,"Fluorescent chemosensors: the past, present and future"
Thorfinnur Gunnlaugsson,Anion recognition and sensing in organic and aqueous media using luminescent and colorimetric sensors
Thorfinnur Gunnlaugsson,"Colorimetric and fluorescent anion sensors: an overview of recent developments in the use of 1, 8-naphthalimide-based chemosensors"
Thorfinnur Gunnlaugsson,"Recent advances in the development of 1, 8-naphthalimide based DNA targeting binders, anticancer and fluorescent cellular imaging agents"
Thorfinnur Gunnlaugsson,Recent developments in the field of supramolecular lanthanide luminescent sensors and self-assemblies
Thorfinnur Gunnlaugsson,Fluorescent sensing of pyrophosphate and bis-carboxylates with charge neutral PET chemosensors
Thorfinnur Gunnlaugsson,"Molecular logic gates: the past, present and future"
Thorfinnur Gunnlaugsson,Colorimetric “naked eye” sensing of anions in aqueous solution
Thorfinnur Gunnlaugsson,Integration of logic functions and sequential operation of gates at the molecular-scale
Wei Zhang,Recent advances in dynamic covalent chemistry
Wei Zhang,Heat‐or water‐driven malleability in a highly recyclable covalent network polymer
Wei Zhang,Shape‐persistent macrocycles: structures and synthetic approaches from arylene and ethynylene building blocks
Wei Zhang,Ionic covalent organic frameworks with spiroborate linkage
Wei Zhang,Synthesis of ultrafine and highly dispersed metal nanoparticles confined in a thioether-containing covalent organic framework and their catalytic applications
Wei Zhang,Repairable woven carbon fiber composites with full recyclability enabled by malleable polyimine networks
Wei Zhang,Detection of explosives with a fluorescent nanofibril film
Wei Zhang,"Dynamic covalent chemistry approaches toward macrocycles, molecular cages, and polymers"
Wei Zhang,"Rehealable, fully recyclable, and malleable electronic skin enabled by dynamic covalent thermoset nanocomposite"
