Author Id,Name,Affiliation,Email,citedby,citedby5y,hindex,hindex5y,Interests
0MWnxp4AAAAJ,SonBinh Nguyen,"Professor of Chemistry, Northwestern University",@northwestern.edu,103416,30176,104,57,"organic, polymer, inorganic, materials, catalysis"
8koMwqIAAAAJ,Jonas Peters,California Institute of Technology,@caltech.edu,36768,19283,97,62,"chemistry, inorganic chemistry, bioinorganic, catalysis, organic"
s19pUyUAAAAJ,Thorfinnur Gunnlaugsson,"Professor of Chemistry, Trinity College Dublin, The University of Dublin",@tcd.ie,34263,10008,85,40,"Supramolecular, organic, inorganic, material and medicinal chemistries"
7lJXpzkAAAAJ,Wei Zhang,"Professor of Chemistry, University of Colorado",@colorado.edu,24318,15114,80,64,"chemistry, materials science, organic, physical organic, energy"
mAQqH_gAAAAJ,Lukas Schmidt-Mende,University of Konstanz,@uni-konstanz.de,21423,7585,55,39,"organic, hybrid, nanostructured and perovskite solar cells"
Lw33OTcAAAAJ,Harry W. Gibson,"Emeritus Professor of Chemistry, Virginia Tech",@vt.edu,18529,2595,74,23,"organic, polymer and supramolecular chemistry"
FpjQZjkAAAAJ,Bruce Ganem,"Roessler Professor of Chemistry, Cornell University",@cornell.edu,17971,1806,71,18,"synthetic, organic, biomedical chemistry"
VKltHrYAAAAJ,Israel Fernandez,Universidad Complutense de Madrid,@quim.ucm.es,12379,6193,57,36,"Organic, organometallic, computational chemistry"
2R274I0AAAAJ,Chih-Hao Chang,Yuan Ze University,@saturn.yzu.edu.tw,11084,4773,55,36,organic
OR8oqpwAAAAJ,Jung-Yong Lee,"Professor of School of EE, KAIST",@kaist.ac.kr,10871,4558,41,35,"Organic, quantum dots, perovskite PVs, transparent electronics"
