Author-Paper Id,Author,Title,Year,Citations
0MWnxp4AAAAJ:u-x6o8ySG0sC,SonBinh Nguyen,Synthesis of graphene-based nanosheets via chemical reduction of exfoliated graphite oxide,2007,15710
0MWnxp4AAAAJ:u5HHmVD_uO8C,SonBinh Nguyen,Graphene-based composite materials,2006,14944
0MWnxp4AAAAJ:d1gkVwhDpl0C,SonBinh Nguyen,Metal–organic framework materials as catalysts,2009,8425
0MWnxp4AAAAJ:9yKSN-GCB0IC,SonBinh Nguyen,Preparation and characterization of graphene oxide paper,2007,6338
0MWnxp4AAAAJ:qjMakFHDy7sC,SonBinh Nguyen,Functionalized graphene sheets for polymer nanocomposites,2008,4010
0MWnxp4AAAAJ:2osOgNQ5qMEC,SonBinh Nguyen,Stable aqueous dispersions of graphitic nanoplatelets via the reduction of exfoliated graphite oxide in the presence of poly (sodium 4-styrenesulfonate),2006,3176
0MWnxp4AAAAJ:Y0pCki6q_DkC,SonBinh Nguyen,"Graphene oxide, highly reduced graphene oxide, and graphene: versatile building blocks for carbon‐based materials",2010,3164
0MWnxp4AAAAJ:UeHWp8X0CEIC,SonBinh Nguyen,Synthesis and exfoliation of isocyanate-treated graphene oxide nanoplatelets,2006,2716
0MWnxp4AAAAJ:8k81kl-MbHgC,SonBinh Nguyen,Metal–organic framework materials with ultrahigh surface areas: is the sky the limit?,2012,1929
0MWnxp4AAAAJ:WF5omc3nYNoC,SonBinh Nguyen,Graphene Oxide Papers Modified by Divalent Ions—Enhancing Mechanical Properties via Chemical Cross-Linking,2008,1895
8koMwqIAAAAJ:kNdYIx-mwKoC,Jonas Peters,Benchmarking heterogeneous electrocatalysts for the oxygen evolution reaction,2013,5783
8koMwqIAAAAJ:LI9QrySNdTsC,Jonas Peters,Benchmarking hydrogen evolving reaction and oxygen evolving reaction electrocatalysts for solar water splitting devices,2015,3532
8koMwqIAAAAJ:SdhP9T11ey4C,Jonas Peters,Catalytic conversion of nitrogen to ammonia by an iron model complex,2013,947
8koMwqIAAAAJ:PVjk1bu6vJQC,Jonas Peters,Synthetic control of excited-state properties in cyclometalated Ir (III) complexes using ancillary ligands,2005,801
