Author,Paper Title
Prof. Dr. Khalid Mahmood Zia,"Recent advances on polysaccharides, lipids and protein based edible films and coatings: A review"
Prof. Dr. Khalid Mahmood Zia,"Methods for polyurethane and polyurethane composites, recycling and recovery: A review"
Prof. Dr. Khalid Mahmood Zia,Microbial production of polyhydroxyalkanoates (PHAs) and its copolymers: A review of recent advancements
Prof. Dr. Khalid Mahmood Zia,"A review on synthesis, properties and applications of natural polymer based carrageenan blends and composites"
Prof. Dr. Khalid Mahmood Zia,"Lignin-derivatives based polymers, blends and composites: A review"
Prof. Dr. Khalid Mahmood Zia,Bio-based polyurethane: An efficient and environment friendly coating systems: A review
Prof. Dr. Khalid Mahmood Zia,Pectins functionalized biomaterials; a new viable approach for biomedical applications: A review
Prof. Dr. Khalid Mahmood Zia,Recent trends on gellan gum blends with natural and synthetic polymers: A review
Prof. Dr. Khalid Mahmood Zia,Recent developments in curcumin and curcumin based polymeric materials for biomedical applications: A review
Prof. Dr. Khalid Mahmood Zia,Recent developments and future prospects on bio-based polyesters derived from renewable resources: A review
Joseph M. Zadrozny,Hydrocarbon separations in a metal-organic framework with open iron (II) coordination sites
Joseph M. Zadrozny,Magnetic blocking in a linear iron(I) complex
Joseph M. Zadrozny,Slow magnetization dynamics in a series of two-coordinate iron (II) complexes
Joseph M. Zadrozny,Slow Magnetic Relaxation at Zero Field in the Tetrahedral Complex [Co(SPh)4]2–
Joseph M. Zadrozny,Millisecond coherence time in a tunable molecular electronic spin qubit
Joseph M. Zadrozny,Exchange coupling and magnetic blocking in bipyrimidyl radical-bridged dilanthanide complexes
Joseph M. Zadrozny,Slow magnetic relaxation in a pseudotetrahedral cobalt (II) complex with easy-plane anisotropy
Joseph M. Zadrozny,"A theoretical analysis of chemical bonding, vibronic coupling, and magnetic anisotropy in linear iron (II) complexes with single-molecule magnet behavior"
Joseph M. Zadrozny,Reversible CO Binding Enables Tunable CO/H2 and CO/N2 Separations in Metal–Organic Frameworks with Exposed Divalent Metal Cations
Joseph M. Zadrozny,"Slow magnetic relaxation in the tetrahedral cobalt (II) complexes [Co (EPh) 4] 2−(EO, S, Se)"
Gabriel Alonso-Nuñez; Gabriel Alonso,SBA-15 mesoporous silica as catalytic support for hydrodesulfurization catalysts
Gabriel Alonso-Nuñez; Gabriel Alonso,Characterization and HDS activity of mesoporous MoS2 catalysts prepared by in situ activation of tetraalkylammonium thiomolybdates
Gabriel Alonso-Nuñez; Gabriel Alonso,Study of carbon nanotubes synthesis by spray pyrolysis and model of growth
Gabriel Alonso-Nuñez; Gabriel Alonso,A green synthesis of copper nanoparticles using native cyclodextrins as stabilizing agents
Gabriel Alonso-Nuñez; Gabriel Alonso,CoMo/Ti-SBA-15 catalysts for dibenzothiophene desulfurization
Gabriel Alonso-Nuñez; Gabriel Alonso,Preparation of MoS2 and WS2 catalysts by in situ decomposition of ammonium thiosalts
Gabriel Alonso-Nuñez; Gabriel Alonso,Preparation of MoS2 catalysts by in situ decomposition of tetraalkylammonium thiomolybdates
Gabriel Alonso-Nuñez; Gabriel Alonso,Study of the green synthesis of silver nanoparticles using a natural extract of dark or white Salvia hispanica L. seeds and their antibacterial application
Gabriel Alonso-Nuñez; Gabriel Alonso,Nickel-Molybdenum-Tungsten Sulfide catalysts prepared by in situ activation of tri-metallic (Ni-Mo-W) alkylthiomolybdotungstates
Gabriel Alonso-Nuñez; Gabriel Alonso,Preparation of WS2 catalysts by in situ decomposition of tetraalkylammonium thiotungstates
Collin Roesler,Modeling in situ phytoplankton absorption from total absorption spectra in productive inland marine waters
Collin Roesler,"In situ phytoplankton absorption, fluorescence emission, and particulate backscattering spectra determined from reflectance"
Collin Roesler,An overview of approaches and challenges for retrieving marine inherent optical properties from ocean color remote sensing
Collin Roesler,Theoretical and experimental approaches to improve the accuracy of particulate absorption coefficients derived from the quantitative filter technique
Collin Roesler,Recommendations for obtaining unbiased chlorophyll estimates from in situ chlorophyll fluorometers: A global analysis of WET Labs ECO sensors
Collin Roesler,Variability in Arctic sea ice optical properties
Collin Roesler,Optical monitoring and forecasting systems for harmful algal blooms: possibility or pipe dream?
Collin Roesler,"Effects of temperature, irradiance, and salinity on photosynthesis, growth rates, total toxicity, and toxin composition for Alexandrium fundyense isolates from the Gulf of Maine and Bay of Fundy"
Collin Roesler,Satellite sensor requirements for monitoring essential biodiversity variables of coastal ecosystems
Collin Roesler,Ocean optics web book
Dr. Ajay Singh,"Colorimetric chemosensors for d-metal ions: A review in the past, present and future prospect"
Dr. Ajay Singh,Identification and mapping in spring wheat of genetic factors controlling stem rust resistance and the study of their epistatic interactions across multiple environments
Dr. Ajay Singh,"Green synthesis, characterisations and antimicrobial activities of CaO nanoparticles"
Dr. Ajay Singh,Distribution of pathogens causing foliar blight of wheat in India and neighbouring countries
Dr. Ajay Singh,Laser metal deposition of nickel coated Al 7050 alloy
Dr. Ajay Singh,Green Synthesis of Photocatalytic TiO2 Nanoparticles for Potential Application in Photochemical Degradation of Ornidazole
Dr. Ajay Singh,"Heavy metal concentrations in pharmaceutical effluents of Industrial Area of Dehradun (Uttarakhand), India"
Dr. Ajay Singh,"Algae-based sustainable approach for simultaneous removal of micropollutants, and bacteria from urban wastewater and its real-time reuse for aquaculture"
Dr. Ajay Singh,Interaction of turmeric (Curcuma longa L.) with beneficial microbes: a review
Dr. Ajay Singh,"New plant hosts for group  16SrII, 'Candidatus Phytoplasma aurantifolia', in  India"
Lisa Marie Warner,Perceived self-efficacy and its relationship to resilience
Lisa Marie Warner,How do negative self-perceptions of aging become a self-fulfilling prophecy?
Lisa Marie Warner,What do targeting positive views on ageing add to a physical activity intervention in older adults? Results from a randomised controlled trial
