Author Id,Name,Affiliation,Email,Interests
txJDemQAAAAJ,Prof. Dr. Khalid Mahmood Zia,"Government College University, Faisalabad, Pakistan",@gcuf.edu.pk,"Physical, Polymers & Material Chemistry, Bionanocomposites, Bio-functionalized synthetic polymers"
NcAcMrMAAAAJ,Joseph M. Zadrozny,Colorado State University,@colostate.edu,"Physical, Inorganic, and Materials Chemistry"
BH7EBnEAAAAJ,Gabriel Alonso-Nuñez; Gabriel Alonso,UNAM; CIMAV,@cnyn.unam.mx,"Physical, Chemistry, materials, catalysis, electrochemistry"
WAYUPJAAAAAJ,Collin Roesler,"Professor of Earth and Oceanographic Science, Bowdoin College",@bowdoin.edu,"Oceanography (Biological, Optical, Physical), Sea Ice"
iK9CfwoAAAAJ,Dr. Ajay Singh,"Professor & Dean( Applied Science & research),Uttaranchal University,Dehradun",@uumail.in,"Organic, physical, polymer, environmental chemistry"
CE5xULUAAAAJ,Lisa Marie Warner,"MSB Medical School Berlin, Department of Psychology",@medicalschool-berlin.de,"Social and Health Psychology, Health Behaviour Change, Self-efficacy, Social Support, Physical"
hOm5kIIAAAAJ,Vo Nguyen Quoc Bao,Posts and Telecommunications Institute of Technology,@ptit.edu.vn,"wireless communications, cooperative communications, cognitive networks, energy harvesting, physical"
Gpw2vc4AAAAJ,Philippe Bopp,chemistry (Mainz->Darmstadt->Aachen->Bordeaux (retired))  VISTEC,,"physical, theoretical, computational chemistry"
GkIAewcAAAAJ,Nguyen Dinh Dang,"Quantum Hadron Physics Lab, RIKEN Nishina Center, Hirosawa, Wako City, 351-0198 Saitama, Japan",,Physical
Vvlg_rQAAAAJ,Evgeni Ivanov,"Institute of Mechanics, Bulgarian Academy of Sciences",@imbm.bas.bg,"His fields of research is related with polymer nanocomposites: rheological, structural, thermal, physical, mechanical properties"
