Author-Paper Id,Author,Title,Year,Citations
txJDemQAAAAJ:Xs1h1I_UytMC,Prof. Dr. Khalid Mahmood Zia,"Recent advances on polysaccharides, lipids and protein based edible films and coatings: A review",2018,947
txJDemQAAAAJ:u5HHmVD_uO8C,Prof. Dr. Khalid Mahmood Zia,"Methods for polyurethane and polyurethane composites, recycling and recovery: A review",2007,800
txJDemQAAAAJ:GnPB-g6toBAC,Prof. Dr. Khalid Mahmood Zia,Microbial production of polyhydroxyalkanoates (PHAs) and its copolymers: A review of recent advancements,2016,686
txJDemQAAAAJ:cUWptXWc3MAC,Prof. Dr. Khalid Mahmood Zia,"A review on synthesis, properties and applications of natural polymer based carrageenan blends and composites",2017,367
txJDemQAAAAJ:lSLTfruPkqcC,Prof. Dr. Khalid Mahmood Zia,"Lignin-derivatives based polymers, blends and composites: A review",2016,335
txJDemQAAAAJ:maZDTaKrznsC,Prof. Dr. Khalid Mahmood Zia,Bio-based polyurethane: An efficient and environment friendly coating systems: A review,2016,312
txJDemQAAAAJ:cFcI8uaobsAC,Prof. Dr. Khalid Mahmood Zia,Pectins functionalized biomaterials; a new viable approach for biomedical applications: A review,2017,289
txJDemQAAAAJ:7DTIKO_nxaIC,Prof. Dr. Khalid Mahmood Zia,Recent trends on gellan gum blends with natural and synthetic polymers: A review,2018,275
txJDemQAAAAJ:bEWYMUwI8FkC,Prof. Dr. Khalid Mahmood Zia,Recent developments in curcumin and curcumin based polymeric materials for biomedical applications: A review,2015,274
txJDemQAAAAJ:TFP_iSt0sucC,Prof. Dr. Khalid Mahmood Zia,Recent developments and future prospects on bio-based polyesters derived from renewable resources: A review,2016,241
NcAcMrMAAAAJ:u5HHmVD_uO8C,Joseph M. Zadrozny,Hydrocarbon separations in a metal-organic framework with open iron (II) coordination sites,2012,1763
NcAcMrMAAAAJ:9yKSN-GCB0IC,Joseph M. Zadrozny,Magnetic blocking in a linear iron(I) complex,2013,627
NcAcMrMAAAAJ:d1gkVwhDpl0C,Joseph M. Zadrozny,Slow magnetization dynamics in a series of two-coordinate iron (II) complexes,2013,567
NcAcMrMAAAAJ:u-x6o8ySG0sC,Joseph M. Zadrozny,Slow Magnetic Relaxation at Zero Field in the Tetrahedral Complex [Co(SPh)4]2–,2011,481
NcAcMrMAAAAJ:Se3iqnhoufwC,Joseph M. Zadrozny,Millisecond coherence time in a tunable molecular electronic spin qubit,2015,379
NcAcMrMAAAAJ:2osOgNQ5qMEC,Joseph M. Zadrozny,Exchange coupling and magnetic blocking in bipyrimidyl radical-bridged dilanthanide complexes,2012,366
NcAcMrMAAAAJ:roLk4NBRz8UC,Joseph M. Zadrozny,Slow magnetic relaxation in a pseudotetrahedral cobalt (II) complex with easy-plane anisotropy,2012,279
NcAcMrMAAAAJ:qjMakFHDy7sC,Joseph M. Zadrozny,"A theoretical analysis of chemical bonding, vibronic coupling, and magnetic anisotropy in linear iron (II) complexes with single-molecule magnet behavior",2013,260
NcAcMrMAAAAJ:W7OEmFMy1HYC,Joseph M. Zadrozny,Reversible CO Binding Enables Tunable CO/H2 and CO/N2 Separations in Metal–Organic Frameworks with Exposed Divalent Metal Cations,2014,234
NcAcMrMAAAAJ:zYLM7Y9cAGgC,Joseph M. Zadrozny,"Slow magnetic relaxation in the tetrahedral cobalt (II) complexes [Co (EPh) 4] 2−(EO, S, Se)",2013,232
BH7EBnEAAAAJ:owLR8QvbtFgC,Gabriel Alonso-Nuñez; Gabriel Alonso,SBA-15 mesoporous silica as catalytic support for hydrodesulfurization catalysts,2013,225
BH7EBnEAAAAJ:1sJd4Hv_s6UC,Gabriel Alonso-Nuñez; Gabriel Alonso,Characterization and HDS activity of mesoporous MoS2 catalysts prepared by in situ activation of tetraalkylammonium thiomolybdates,2002,181
