ss_venue_id,name,issn,url
e03330e5-7fe1-4c24-bbe7-470218f4f243,Journal of Business-to-Business Marketing,1051-712X,http://www.haworthpress.com/store/product.asp?sku=J033
b1a54212-cfb0-4028-bebc-fd31df7ebd3f,Asian Social Science,1911-2017,http://ccsenet.org/journal/index.php/ass/
3567d187-af59-4171-97a3-abc4d6beb1bf,"Marketing science (Providence, R.I.)",0732-2399,http://mktsci.journal.informs.org/
6b25cc59-3bb5-4b47-819e-d95ba292c4f7,Information systems research,1047-7047,http://isr.journal.informs.org/
3567d187-af59-4171-97a3-abc4d6beb1bf,"Marketing science (Providence, R.I.)",0732-2399,http://mktsci.journal.informs.org/
d35a6bbd-6e0b-4f53-a223-a9d00528f12c,International Journal of Research in Marketing,0167-8116,https://www.journals.elsevier.com/international-journal-of-research-in-marketing/#description
b1777374-1df8-4ade-ab26-5f1a92afe1e0,Health Marketing Quarterly,0735-9683,http://www.tandfonline.com/loi/whmq20
8775599f-4f9a-45f0-900e-7f4de68e6843,Sustainability,2071-1050,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-172127
8775599f-4f9a-45f0-900e-7f4de68e6843,Sustainability,2071-1050,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-172127
75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network,1556-5068,http://www.ssrn.com/
