ss_venue_id,name,issn,url
b446bbfb-c88e-4cbd-bc4e-9eeb0a75760c,Advanced Optical Materials,2195-1071,https://onlinelibrary.wiley.com/doi/abs/10.1002/adom.201600834
a3383acf-f1ca-48b9-8740-85dad8561db1,Journal of Inorganic and Organometallic Polymers and Materials,1574-1443,https://link.springer.com/journal/10904
ba7d08b1-42b3-4601-84c3-61441319137c,Archives of Environmental Contamination and Toxicology,0090-4341,http://www.springer.com/environment/environmental+toxicology/journal/244
d1f96198-554e-402c-8e45-584cd9b02bce,Catalysts,2073-4344,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-217803
850fc070-bb53-4d7e-87ef-5e94e6f107de,ACS Applied Materials and Interfaces,1944-8244,https://pubs.acs.org/journal/aamick
dcd56d29-6feb-4b39-b969-74e48c1e9dd3,Advanced Functional Materials,1616-301X,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028
01344f52-6324-42d8-8a68-e00bf2e00ce6,Journal of Chemical and Engineering Data,0021-9568,https://pubs.acs.org/doi/full/10.1021/acs.jced.6b00196
12435c5f-1a16-4ac3-a127-193487a388e6,Inorganic Chemistry,0020-1669,https://pubs.acs.org/journal/inocaj
45c7ef3c-e436-428b-a856-c8d5b31b603b,Journal of Physical Chemistry Letters,1948-7185,https://pubs.acs.org/journal/jpclcd
f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,2045-2322,http://www.nature.com/srep/
850fc070-bb53-4d7e-87ef-5e94e6f107de,ACS Applied Materials and Interfaces,1944-8244,https://pubs.acs.org/journal/aamick
850fc070-bb53-4d7e-87ef-5e94e6f107de,ACS Applied Materials and Interfaces,1944-8244,https://pubs.acs.org/journal/aamick
eed6c5ed-9ea5-4b19-8911-675b033a51dc,Journal of Organic Chemistry,0022-3263,https://pubs.acs.org/journal/joceah
cf1ee3fb-2199-4159-85c5-2fb7dbf149ab,ACS Catalysis,2155-5435,https://pubs.acs.org/journal/accacs
5c67bd81-6372-4a5c-944e-9cf0e6c1f00d,Journal of Colloid and Interface Science,0021-9797,http://www.elsevier.com/wps/find/journaldescription.cws_home/622861/description
b3c35768-4e91-4e28-80ef-de14236e8c15,ACS Sustainable Chemistry and Engineering,2168-0485,https://pubs.acs.org/journal/ascecg
4193a393-c091-455e-858d-3d2c151b52b8,Journal of the American Chemical Society,0002-7863,https://pubs.acs.org/journal/jacsat
70ef2102-0434-485e-80be-0125e0230420,Transactions of the Royal Society of Edinburgh,0080-4568,http://journals.cambridge.org/action/displayJournal?jid=TRE
4193a393-c091-455e-858d-3d2c151b52b8,Journal of the American Chemical Society,0002-7863,https://pubs.acs.org/journal/jacsat
9efb20cf-7484-450d-8245-12dfbf639d3e,Environmental Science and Technology,0013-936X,https://pubs.acs.org/journal/esthag
cf0ec57b-6d06-4a44-82c1-6a19b501b575,Drug Metabolism And Disposition,0090-9556,http://dmd.aspetjournals.org/
370b3595-8823-4619-82f9-dce46445a8d7,Catalysis Letters,1011-372X,https://www.springer.com/journal/10562/
c6ca6024-34ab-4772-9012-f1325ff84509,Chemistry,0009-305X,http://www.e-helvetica.nb.admin.ch/directAccess?callnumber=bel-1475729
9efb20cf-7484-450d-8245-12dfbf639d3e,Environmental Science and Technology,0013-936X,https://pubs.acs.org/journal/esthag
4193a393-c091-455e-858d-3d2c151b52b8,Journal of the American Chemical Society,0002-7863,https://pubs.acs.org/journal/jacsat
9856035c-170d-4e13-81d2-6f84cb5aa166,Journal of materials chemistry. B,2050-750X,http://www.rsc.org/Publishing/Journals/tb/
72cc6474-a775-4c22-823f-3684c7ef79bf,Ecosystems,1432-9840,https://link.springer.com/journal/10021
a60180c7-29d7-42fe-9523-3112be85aae3,Journal of Food Quality,0146-9428,https://www.hindawi.com/journals/jfq/
07be6afd-ad24-4e8f-ad9b-8f87c438e56c,Diabetes,0012-1797,https://diabetes.diabetesjournals.org/
164cf9d6-c9e8-41f0-b15d-00fa34cb4bd1,Analytical Chemistry,0003-2700,https://pubs.acs.org/journal/ancham
ec86332d-2108-4f24-b4fa-0d87b28ac716,The American Journal of Chinese Medicine,1793-6853,https://www.worldscientific.com/worldscinet/ajcm
