ss_venue_id,name,issn,url
24ba9f3e-7fc1-484f-9e8a-7b52ecb09ff0,Journal of Endocrinology,0022-0795,http://joe.endocrinology-journals.org/
46c7898d-b8d7-4a91-afbb-f6ec48ff4ae5,Biological Trace Element Research,0163-4984,https://www.springer.com/life+sciences/biochemistry+&+biophysics/journal/12011
c3d5698b-3d88-4eae-b57d-aac2bdbb7265,Cell Adhesion and Communication,1023-7046,http://www.crcpress.com/browse/series/CRCCELADHCOM
b0b26849-50a9-4c51-a065-9bd1136487fd,Acta Universitatis Agriculturae et Silviculturae Mendelianae Brunensis,1211-8516,https://acta.mendelu.cz/
f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,2045-2322,http://www.nature.com/srep/
08ee3346-e195-4333-b008-be3a4f9e23cd,Biochimica et Biophysica Acta,0006-3002,https://www.elsevier.com/life-sciences/biochemistry-genetics-and-molecular-biology/journals/bba
9adb8537-f32e-4bab-a10c-e7c9d59e04ac,Pharmaceutical Research,0724-8741,http://www.kluweronline.com/issn/0724-8741/contents
51651566-5d01-4de3-80d8-2751e1d1334a,Journal of Physiology,0022-3751,https://onlinelibrary.wiley.com/journal/14697793
64838252-a209-4424-a778-3b86b4a83c48,Biochemical Journal,0264-6021,http://www.biochemj.org/
8fe900e6-e249-4a9a-9a88-dc78d098b45b,Food Science and Biotechnology,1226-7708,https://link.springer.com/journal/10068
e7c3aea1-83fc-4ada-9c71-1d6e1c527da8,British Journal of Nutrition,0007-1145,https://www.cambridge.org/core/journals/british-journal-of-nutrition
4193a393-c091-455e-858d-3d2c151b52b8,Journal of the American Chemical Society,0002-7863,https://pubs.acs.org/journal/jacsat
266b9825-436f-45f6-bca6-6e10efe8a0e1,International journal of food Science,2513-2628,https://www.hindawi.com/journals/ijfs/
e83993bd-8336-4ff8-860f-9a7209d8b024,Experimental Dermatology,0906-6705,http://www.wiley.com/bw/journal.asp?ref=0906-6705
099a2ecc-54f9-42d3-9ea0-0189027aa04f,Journal of Biological Chemistry,0021-9258,http://ejournals.ebsco.com/direct.asp?JournalID=101729
f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports,2045-2322,http://www.nature.com/srep/
b518efa8-b470-492f-83e6-b75cdc4998bb,Italian Journal of Food Safety,2239-7132,http://www.ijfs.it/
5f859516-15a8-4333-8460-9fcabe48d75e,Journal of Physical Chemistry A,1089-5639,https://pubs.acs.org/journal/jpcafh
767af0e7-950d-47fb-8bb9-703502d5f92f,International Journal of Biological Macromolecules,0141-8130,https://www.journals.elsevier.com/international-journal-of-biological-macromolecules/
c65c54f8-e39f-4d7a-8e35-fc1d6421735c,Journal of Pharmacy and Science,2615-1006,http://jurnal.univrab.ac.id/index.php/jops
66fa3a04-1561-48ac-8933-39a60b63cfad,Drug Discovery Today,1359-6446,http://www.drugdiscoverytoday.com/
a7d48414-e40b-4441-829e-d9a349bea6fb,Journal of Molecular Biology,0022-2836,http://www.elsevier.com/locate/issn/0022-2836
dcd56d29-6feb-4b39-b969-74e48c1e9dd3,Advanced Functional Materials,1616-301X,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028
57307fe3-fa8c-47ec-9b5d-4bab7fd699fc,Infection and Immunity,0019-9567,http://www.pubmedcentral.nih.gov/tocrender.fcgi?journal=87
1a9c698b-7fe4-4444-b391-208b4b2326e2,Biochemical and Biophysical Research Communications - BBRC,0006-291X,http://www.elsevier.com/wps/find/journaldescription.cws_home/622790/description
bfba025f-b9ce-44b1-a200-eec39dd09964,Molecular Pharmaceutics,1543-8384,https://pubs.acs.org/journal/mpohbp
2911020d-6ead-4ed7-8e89-26d47c39f602,Journal of Environmental Protection,2152-2197,https://www.scirp.org/journal/jep/
f90f18ad-e5fd-4392-86cd-d5c0aa5fcda5,Ultrasonics sonochemistry,1350-4177,http://www.sciencedirect.com/science/journal/13504177
dfe01693-c822-4578-a046-5b0e174708d2,Corrosion,0010-9312,https://corrosionjournal.org/
556509f4-0eb1-4dc2-b738-f76b2812717f,Chemistry and Physics of Lipids,0009-3084,http://www.elsevier.com/wps/find/journaldescription.cws_home/506036/description#description
09f6dd95-50da-48e6-b4be-176c05437728,Radiation Research,0033-7587,http://www.bioone.org/bioone/?issn=0033-7587&request=get-journals-list
