ss_venue_id,name,issn,url
899831a7-9af2-403b-b185-fa56c8634454,IEEE transactions on engineering management,0018-9391,http://ieeexplore.ieee.org/servlet/opac?punumber=17
b142707c-e6b5-427a-a6d4-313604e96add,Clinical Chemistry,0009-9147,http://www.clinchem.org/
b609baae-9a66-4db1-af81-5b70e926c829,Journal of ultrasound in medicine,0278-4297,https://onlinelibrary.wiley.com/journal/15509613
b8169115-67a3-46d1-8f41-d9bad8395398,IEEE Transactions on Power Delivery,0885-8977,http://ieeexplore.ieee.org/servlet/opac?punumber=61
88628377-4e89-44f8-bb38-094e29986c8f,Procedia Computer Science,1877-0509,http://www.elsevier.com/wps/find/journaldescription.cws_home/719435/description#
79c59592-820f-4ed1-87df-db795b4326be,Journal of medical systems,0148-5598,https://link.springer.com/journal/10916
9e813668-7b2e-4506-9e7e-4a285f318e46,Springer US,,
1a020765-4a2a-47ce-9c05-c3f80ae090ad,Asian Journal of Business and Accounting,1985-4064,https://ajba.um.edu.my/
9bc76c9a-64ac-4dd9-902e-80fccca1833f,The Arabian journal for science and engineering,0377-9211,https://ajse.kfupm.edu.sa/jindx_engg.htm
f6572f66-2623-4a5e-b0d9-4a5028dea98f,Computer,0018-9162,http://www.computer.org/computer
9aef3b55-2b26-4ede-8def-fcd0839b7d9d,Stroke,0039-2499,http://stroke.ahajournals.org/
fe7b4707-0a37-44e9-81bd-49bfdc489170,Current Hematologic Malignancy Reports,1558-8211,https://www.current-reports.com/
b210fd3d-11d7-478e-a0aa-7e3d2a4f482d,IEEE Sensors Journal,1530-437X,http://ieeexplore.ieee.org/servlet/opac?punumber=7361
424830bb-a6eb-4f54-8348-525a173c66bc,Research on Education and Media,2037-0830,http://www.degruyter.com/view/j/rem
fdaf9f7d-d61d-4e04-a146-f4088bc3de50,RUSI Journal,0307-1847,http://www.tandfonline.com/toc/rusi20/current
03ddc721-1999-4110-8a6b-e3aab1709075,Gastroenterology,0016-5085,http://www.sciencedirect.com/science/journal/00165085
2135230a-3b24-4b71-9583-60624389377a,IEEE Transactions on Industrial Informatics,1551-3203,http://ieeexplore.ieee.org/servlet/opac?punumber=9424
236c001c-2842-45d9-9f6f-11dd5f24b810,European Urology Focus,2405-4569,https://www.journals.elsevier.com/european-urology-focus/
75d7a8c1-d871-42db-a8e4-7cf5146fdb62,Social Science Research Network,1556-5068,http://www.ssrn.com/
0444c465-1041-40ca-963e-628694a9eccc,Optometry and Vision Science,1040-5488,https://journals.lww.com/optvissci
2633f5b2-c15c-49fe-80f5-07523e770c26,IEEE Access,2169-3536,http://www.ieee.org/publications_standards/publications/ieee_access.html
32df3807-b551-4342-ae9e-be1854d1e7d8,American Journal of Gastroenterology,0002-9270,http://www.amjgastro.com/
b210fd3d-11d7-478e-a0aa-7e3d2a4f482d,IEEE Sensors Journal,1530-437X,http://ieeexplore.ieee.org/servlet/opac?punumber=7361
